"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"54","Spencer Ware (FA)","72","403","5.6","52","4","6","6","6","5","0.8","0","0","11","79.8","7.3","0.0%"
"55","Kyle Juszczyk (SF)","2","3","1.5","2","0","0","41","56","321","7.8","4","0","16","76.9","4.8","0.3%"
"56","Dexter McCluster (FA)","55","247","4.5","44","2","1","31","41","260","8.4","1","2","11","76.2","6.9","0.0%"
"57","Marshawn Lynch (FA)","111","417","3.8","24","1","3","13","21","80","6.2","0","0","7","76.2","10.9","0.3%"
"58","Carlos Hyde (FA)","115","470","4.1","22","1","3","11","15","53","4.8","0","0","7","75.8","10.8","0.0%"
"59","Chris Thompson (FA)","35","216","6.2","42","3","0","35","48","240","6.9","2","0","13","75.1","5.8","0.0%"
"60","Mike Tolbert (FA)","62","256","4.1","29","1","1","18","23","154","8.6","3","0","16","74.0","4.6","0.0%"
"61","Jerick McKinnon (KC)","52","271","5.2","68","1","2","21","29","173","8.2","1","0","16","72.9","4.6","65.1%"
"62","Jonathan Grimes (FA)","56","282","5.0","37","2","1","26","31","173","6.7","1","0","14","72.5","5.2","0.0%"
"63","Joseph Randle (FA)","76","315","4.1","37","3","4","10","10","86","8.6","0","0","6","69.1","11.5","0.0%"
"64","Andre Ellington (FA)","45","289","6.4","63","2","3","15","24","148","9.9","0","1","10","67.2","6.7","0.1%"
"65","Arian Foster (FA)","63","163","2.6","16","0","1","22","28","227","10.3","2","1","4","66.0","16.5","0.0%"
"66","Shaun Draughn (FA)","78","273","3.5","30","1","1","27","35","176","6.5","0","0","11","64.4","5.9","0.0%"
"67","Chris Polk (FA)","99","334","3.4","20","1","1","16","28","109","6.8","1","0","15","64.3","4.3","0.0%"
"68","C.J. Spiller (FA)","36","112","3.1","11","0","0","34","44","239","7.0","2","0","13","64.1","4.9","0.1%"
"69","Marcel Reece (FA)","10","36","3.6","12","0","0","30","37","269","9.0","3","0","15","63.5","4.2","0.0%"
"70","Khiry Robinson (FA)","56","180","3.2","14","0","4","17","20","115","6.8","0","0","8","62.0","7.8","0.0%"
"71","Fred Jackson (FA)","26","100","3.8","16","0","0","32","41","257","8.0","2","1","16","61.7","3.9","0.0%"
"72","Brandon Bolden (LV)","63","207","3.3","14","0","0","19","30","180","9.5","2","0","15","60.2","4.0","0.2%"
"73","Denard Robinson (FA)","67","266","4.0","31","1","1","21","30","164","7.8","0","1","13","57.5","4.4","0.2%"
"74","Benny Cunningham Jr. (FA)","37","140","3.8","40","1","0","26","36","250","9.6","0","0","16","52.0","3.3","0.0%"
"75","Bishop Sankey (FA)","47","193","4.1","16","0","1","14","22","139","9.9","1","1","13","50.2","3.9","0.0%"
"76","Mike Gillislee (FA)","47","267","5.7","60","3","3","6","7","29","4.8","0","1","5","48.6","9.7","0.0%"
"77","Tre Mason (FA)","75","207","2.8","15","0","1","18","21","88","4.9","0","1","13","42.5","3.3","0.6%"
"78","Donald Brown (FA)","59","229","3.9","53","2","1","8","13","88","11.0","0","0","10","41.7","4.2","0.0%"
"79","Tevin Coleman (FA)","87","392","4.5","46","2","1","2","11","14","7.0","0","3","12","41.6","3.5","0.0%"
"80","Jay Ajayi (FA)","49","187","3.8","24","3","1","7","11","90","12.9","0","0","9","39.2","4.4","7.0%"
"81","Lance Dunbar (FA)","5","67","13.4","45","1","0","21","23","215","10.2","0","0","4","38.7","9.7","0.0%"
"82","Ahmad Bradshaw (FA)","31","85","2.7","23","1","0","10","14","64","6.4","3","0","6","37.9","6.3","0.0%"
"83","Travaris Cadet (FA)","11","28","2.5","6","0","0","17","22","214","12.6","1","1","7","36.7","5.2","0.0%"
"84","Ka'Deem Carey (FA)","43","159","3.7","11","0","2","3","3","19","6.3","1","1","11","35.3","3.2","0.0%"
"85","Andre Williams (FA)","88","257","2.9","35","1","1","1","3","7","7.0","0","0","16","34.9","2.2","0.0%"
"86","Damien Williams (LV)","16","59","3.7","19","0","0","21","28","142","6.8","1","1","16","34.6","2.2","0.1%"
"87","Ty Montgomery (NE)","3","14","4.7","9","0","0","15","19","136","9.1","2","0","6","34.5","5.8","0.7%"
"88","Matt Asiata (FA)","29","112","3.9","19","0","0","19","22","132","6.9","0","0","16","33.9","2.1","0.0%"
"89","Cameron Artis-Payne (FA)","45","183","4.1","31","2","1","5","5","58","11.6","0","0","7","32.6","4.7","0.0%"
"90","Robert Turbin (FA)","50","199","4.0","22","2","1","7","10","23","3.3","0","0","10","31.7","3.2","0.0%"
"91","Zach Line (FA)","6","10","1.7","3","0","2","6","9","95","15.8","1","0","16","31.5","2.0","0.0%"
"92","DuJuan Harris (FA)","48","189","3.9","47","3","0","9","14","97","10.8","0","1","4","31.1","7.8","0.0%"
"93","Jamize Olawale (FA)","24","110","4.6","19","0","1","9","11","84","9.3","0","0","14","29.9","2.1","0.0%"
"94","Patrick DiMarco (FA)","1","0","0.0","0","0","0","13","17","110","8.5","2","0","16","29.5","1.8","0.0%"
"95","Fozzy Whittaker (FA)","25","108","4.3","16","0","1","12","15","64","5.3","0","0","15","29.2","1.9","0.0%"
"96","Jonas Gray (FA)","45","176","3.9","23","1","0","7","8","76","10.9","0","0","8","28.7","3.6","0.0%"
"97","Branden Oliver (FA)","31","108","3.5","15","0","0","13","15","112","8.6","0","0","8","28.5","3.6","0.0%"
"98","Christine Michael (FA)","54","243","4.5","45","1","0","3","6","16","5.3","0","0","8","27.4","3.4","0.0%"
"99","Terron Ward (FA)","29","95","3.3","13","0","1","9","13","73","8.1","0","0","13","27.3","2.1","0.0%"
"100","Orleans Darkwa (FA)","36","153","4.3","17","0","1","3","5","31","10.3","0","0","16","25.9","1.6","0.0%"
"101","Zac Stacy (FA)","31","89","2.9","18","0","1","9","12","65","7.2","0","0","8","25.9","3.2","0.0%"
"102","Taiwan Jones (FA)","16","74","4.6","19","0","0","7","9","106","15.1","1","1","12","25.5","2.1","0.0%"
"103","John Kuhn (FA)","9","28","3.1","5","0","2","6","10","56","9.3","0","0","16","23.4","1.5","0.0%"
"104","Terrance West (FA)","62","231","3.7","17","0","0","4","5","21","5.3","0","2","8","23.2","2.9","0.0%"
"105","Roy Helu (FA)","17","39","2.3","12","0","0","9","16","75","8.3","1","0","9","21.9","2.4","0.0%"
"106","David Cobb (FA)","52","146","2.8","12","0","1","1","2","-2","-2.0","0","0","7","20.9","3.0","0.0%"
"107","Kerwynn Williams (FA)","27","142","5.3","35","1","1","2","2","16","8.0","0","1","6","20.8","3.5","0.0%"
"108","Jalston Fowler (FA)","7","13","1.9","3","0","1","5","6","44","8.8","1","0","16","20.2","1.3","0.0%"
"109","Pierre Thomas (FA)","15","64","4.3","11","0","0","9","11","84","9.3","0","0","5","19.3","3.9","0.0%"
"110","Rex Burkhead (FA)","4","4","1.0","2","0","0","10","15","94","9.4","1","1","16","18.8","1.2","10.0%"
"111","Anthony Dixon (FA)","21","44","2.1","6","0","1","6","7","44","7.3","0","0","16","17.8","1.1","0.0%"
"112","Kenjon Barner (FA)","28","124","4.4","19","0","0","9","12","22","2.4","0","1","10","17.1","1.7","0.0%"
"113","Dan Herron (FA)","25","79","3.2","8","0","0","9","10","47","5.2","0","0","10","17.1","1.7","0.0%"
"114","Knile Davis (FA)","28","72","2.6","10","0","1","2","3","24","12.0","0","0","14","16.6","1.2","0.0%"
"115","Akeem Hunt (FA)","17","96","5.6","25","2","0","6","10","39","6.5","0","0","7","16.5","2.4","0.0%"
"116","Lorenzo Taliaferro (FA)","13","47","3.6","7","0","1","5","5","29","5.8","0","0","3","16.1","5.4","0.0%"
"117","Kendall Gaskins (FA)","16","38","2.4","14","0","0","8","10","69","8.6","0","0","9","14.7","1.6","0.0%"
"118","Ryan Hewitt (FA)","0","0","0","0","0","0","8","12","99","12.4","0","0","15","13.9","0.9","0.0%"
"119","Steven Jackson (FA)","21","50","2.4","7","0","1","1","1","20","20.0","0","0","2","13.5","6.8","0.0%"
"120","Bryce Brown (FA)","25","72","2.9","18","0","1","0","2","0","0","0","0","3","13.2","4.4","0.0%"
"121","Mike Davis (FA)","35","58","1.7","13","0","0","7","13","38","5.4","0","0","6","13.1","2.2","1.0%"
"122","Michael Burton (DEN)","4","2","0.5","2","0","0","6","6","39","6.5","1","0","16","13.1","0.8","0.0%"
"123","Juwan Thompson (FA)","18","48","2.7","12","0","0","6","9","51","8.5","0","0","15","12.9","0.9","0.0%"
"124","Austin Johnson (FA)","4","9","2.3","4","0","1","5","8","30","6.0","0","0","10","12.4","1.2","0.0%"
"125","Will Johnson (FA)","4","7","1.8","6","0","1","2","4","16","8.0","0","0","16","11.3","0.7","0.0%"
"126","Will Tukuafu (FA)","4","1","0.3","4","0","1","1","1","7","7.0","1","1","14","11.3","0.8","0.0%"
"127","Stevan Ridley (FA)","36","90","2.5","13","0","0","4","5","-2","-0.5","0","0","8","10.8","1.4","0.0%"
"128","Zurlon Tipton (FA)","5","20","4.0","7","0","0","5","8","57","11.4","0","0","10","10.2","1.0","0.0%"
"129","Jarryd Hayne (FA)","17","52","3.1","11","0","0","6","7","27","4.5","0","1","8","8.9","1.1","0.0%"
"130","Toby Gerhart (FA)","20","44","2.2","6","0","0","3","5","23","7.7","0","0","7","8.2","1.2","0.0%"
"131","Josh Robinson (FA)","17","39","2.3","8","0","0","6","6","33","5.5","0","1","5","8.2","1.6","0.0%"
"132","Zach Zenner (FA)","17","60","3.5","12","0","0","2","3","11","5.5","0","0","6","8.1","1.4","0.0%"
"133","Tommy Bohanon (FA)","2","2","1.0","2","0","0","4","8","56","14.0","0","0","16","7.8","0.5","0.0%"
"134","Reggie Bush (FA)","8","28","3.5","9","0","0","4","10","19","4.8","0","0","5","6.7","1.3","0.0%"
"135","Stepfan Taylor (FA)","17","58","3.4","16","0","0","1","3","4","4.0","0","0","16","6.7","0.4","0.2%"
"136","Fitzgerald Toussaint (FA)","18","42","2.3","7","0","0","0","0","0","0","0","0","5","6.2","1.2","0.0%"
"137","Darrel Young (FA)","6","10","1.7","5","0","0","6","6","22","3.7","0","0","16","6.2","0.4","0.0%"
"138","Jacquizz Rodgers (FA)","14","41","2.9","5","0","0","1","3","10","10.0","0","0","5","5.6","1.1","0.0%"
"139","Anthony Sherman (FA)","1","0","0.0","0","0","0","4","5","34","8.5","0","0","16","5.4","0.3","0.0%"
"140","Joey Iosefa (FA)","15","51","3.4","15","0","0","0","0","0","0","0","0","2","5.1","2.6","0.0%"
"141","Derrick Coleman (FA)","8","32","4.0","19","0","0","1","1","0","0.0","0","0","14","3.7","0.3","0.1%"
"142","Malcolm Johnson (FA)","0","0","0","0","0","0","4","6","15","3.8","0","0","12","3.5","0.3","0.0%"
"143","Jay Prosch (FA)","6","33","5.5","16","0","0","0","1","0","0","0","0","16","3.3","0.2","0.0%"
"144","Bernard Pierce (FA)","6","11","1.8","4","0","0","3","5","7","2.3","0","0","7","3.3","0.5","0.0%"
"145","Bobby Rainey (FA)","5","18","3.6","7","0","0","3","3","16","5.3","0","1","16","2.9","0.2","0.0%"
"146","Roosevelt Nix (FA)","0","0","0","0","0","0","2","3","16","8.0","0","0","15","2.6","0.2","0.0%"
"147","Tyler Varga (FA)","1","2","2.0","2","0","0","1","2","18","18.0","0","0","3","2.5","0.8","0.0%"
"148","Aaron Ripkowski (FA)","0","0","0","0","0","0","1","1","18","18.0","0","0","15","2.3","0.2","0.0%"
"149","Jorvorskie Lane (FA)","1","0","0.0","0","0","0","2","2","13","6.5","0","0","16","2.3","0.1","0.0%"
"150","Jordan Todman (FA)","4","22","5.5","11","0","0","0","2","0","0","0","0","11","2.2","0.2","0.0%"
"151","John Crockett (FA)","9","21","2.3","12","0","0","0","0","0","0","0","0","2","2.1","1.1","0.0%"
"152","Malcolm Brown (FA)","4","17","4.3","13","0","0","1","1","-2","-2.0","0","0","1","2.0","2.0","0.0%"
"153","Alonzo Harris (FA)","4","19","4.8","16","0","0","0","1","0","0","0","0","6","1.9","0.3","0.0%"
"154","Jerome Felton (FA)","1","2","2.0","2","0","0","1","2","12","12.0","0","0","16","1.9","0.1","0.0%"
"155","Rod Smith (FA)","2","5","2.5","3","0","0","1","2","6","6.0","0","0","11","1.6","0.1","0.0%"
"156","Bruce Miller (FA)","6","14","2.3","4","0","1","10","14","135","13.5","0","0","16","1.2","0.1","0.0%"
"157","Terrence Magee (FA)","2","5","2.5","4","0","0","1","1","2","2.0","0","0","4","1.2","0.3","0.0%"
"158","Trey Williams (FA)","2","12","6.0","12","0","0","0","0","0","0","0","0","3","1.2","0.4","0.0%"
"159","Antone Smith (FA)","1","11","11.0","11","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"160","Tyler Clutts (FA)","0","0","0","0","0","0","1","1","4","4.0","0","0","16","0.9","0.1","0.0%"
"161","Corey Grant (FA)","6","2","0.3","11","0","0","2","3","13","6.5","0","1","6","0.5","0.1","0.0%"
"162","Kendall Hunter (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"163","Cierre Wood (FA)","2","3","1.5","3","0","0","1","1","-6","-6.0","0","0","2","0.2","0.1","0.0%"
"164","George Winn (FA)","4","1","0.3","2","0","0","0","0","0","0","0","0","7","0.1","0.0","0.0%"
"165","Cordarrelle Patterson (ATL)","2","15","7.5","9","0","0","2","2","10","5.0","0","1","16","0.0","0.0","12.0%"
"166","Cory Harkey (FA)","0","0","0","0","0","0","5","6","26","5.2","0","0","16","0.0","0.0","0.2%"
"167","Marcus Thigpen (FA)","1","-1","-1.0","0","0","0","0","0","0","0","0","2","9","0.0","0.0","0.0%"
"168","LaMichael James (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","Nick Bellore (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","28.0%"
"170","Nikita Whitlock (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"171","Drew Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"172","Kapri Bibbs (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"173","Keith Smith (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"174","Toben Opurum (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"175","Chase Reynolds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"176","Dri Archer (FA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"177","Joe Banyard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"178","Cedric Peerman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"179","Trey Watts (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Brandon Wegher (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"181","Dreamius Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"182","Isaiah Pead (FA)","2","3","1.5","4","0","0","0","0","0","0","0","1","2","-1.7","-0.9","0.0%"
"183","Raheem Mostert (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","11","-2.0","-0.2","54.0%"
"184","Marcus Murphy (FA)","1","0","0.0","0","0","0","0","0","0","0","0","1","13","-2.0","-0.2","0.0%"
"185","Glenn Winston (FA)","1","-8","-8.0","0","0","0","0","0","0","0","0","1","3","-2.8","-0.9","0.0%"
""
""
