"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"161","Sammie Coates (FA)","6","11","70","11.7","38","1","0","0","0","0","0","12","10.0","0.8","0.0%"
"162","Tanner McEvoy (FA)","5","9","113","22.6","53","2","0","0","0","0","1","15","9.8","0.7","0.0%"
"163","Brittan Golden (FA)","5","9","70","14.0","29","2","0","0","0","0","0","13","9.5","0.7","0.0%"
"164","Bobo Wilson (FA)","1","1","18","18.0","18","0","1","3","8","0","0","3","9.1","3.0","0.1%"
"165","Bryce Treggs (FA)","5","18","79","15.8","20","1","0","1","6","0","1","6","9.0","1.5","0.0%"
"166","Chad Williams (FA)","3","7","31","10.3","15","0","0","2","33","0","0","6","7.9","1.3","0.0%"
"167","Markus Wheaton (FA)","3","17","51","17.0","22","2","0","0","0","0","0","11","6.6","0.6","0.0%"
"168","Vince Mayle (FA)","0","1","0","0","0","0","0","2","2","1","0","16","6.2","0.4","0.0%"
"169","Michael Clark (FA)","4","14","41","10.3","19","0","0","0","0","0","0","2","6.1","3.1","0.0%"
"170","Jared Abbrederis (FA)","3","7","44","14.7","25","1","0","0","0","0","0","7","5.9","0.8","0.0%"
"171","Ryan Switzer (FA)","6","7","41","6.8","12","0","0","4","5","0","1","16","5.6","0.4","0.0%"
"172","Quan Bray (FA)","3","4","39","13.0","22","1","0","0","0","0","0","9","5.4","0.6","0.0%"
"173","Noah Brown (HOU)","4","9","33","8.3","14","0","0","0","0","0","0","13","5.3","0.4","0.1%"
"174","Marcus Johnson (FA)","5","8","45","9.0","16","0","0","0","0","0","1","10","5.0","0.5","0.0%"
"175","Tanner Gentry (FA)","3","6","35","11.7","15","0","0","0","0","0","0","4","5.0","1.3","0.0%"
"176","Bernard Reedy (FA)","2","2","21","10.5","15","0","0","3","17","0","0","11","4.8","0.4","0.0%"
"177","Griff Whalen (FA)","4","6","23","5.8","9","0","0","0","0","0","0","2","4.3","2.2","0.0%"
"178","JoJo Natson (FA)","2","5","18","9.0","19","0","0","1","15","0","0","7","4.3","0.6","0.0%"
"179","Chris Matthews (FA)","3","6","25","8.3","12","0","0","0","0","0","0","6","4.0","0.7","0.0%"
"180","Jamal Agnew (JAC)","2","2","18","9.0","12","0","0","2","9","0","0","13","3.7","0.3","0.7%"
"181","Jordan Leslie (FA)","1","1","26","26.0","26","1","0","0","0","0","0","2","3.1","1.6","0.0%"
"182","DeAndrew White (FA)","1","7","24","24.0","24","1","0","0","0","0","0","2","2.9","1.5","0.0%"
"183","Jehu Chesson (FA)","2","4","18","9.0","10","0","0","0","0","0","0","12","2.8","0.2","0.0%"
"184","Darius Powe (FA)","2","4","13","6.5","8","0","0","0","0","0","0","1","2.3","2.3","0.0%"
"185","Allen Robinson II (PIT)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.2","2.2","2.9%"
"186","Jeff Janis (FA)","2","5","12","6.0","12","0","0","0","0","0","0","16","2.2","0.1","0.0%"
"187","Shelton Gibson (FA)","2","3","11","5.5","6","0","0","0","0","0","0","5","2.1","0.4","0.0%"
"188","Arrelious Benn (FA)","1","2","12","12.0","12","0","0","0","0","0","0","9","1.7","0.2","0.0%"
"189","Kevin White (FA)","2","4","6","3.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"190","Harry Douglas (FA)","1","3","8","8.0","8","0","0","0","0","0","0","2","1.3","0.7","0.0%"
"191","Isaiah McKenzie (IND)","4","13","29","7.3","14","0","0","1","4","0","2","11","1.3","0.1","0.7%"
"192","Cobi Hamilton (FA)","1","6","8","8.0","8","0","0","0","0","0","0","3","1.3","0.4","0.0%"
"193","Eric Weems (FA)","1","2","5","5.0","5","0","0","1","0","0","0","16","1.0","0.1","0.0%"
"194","Larry Pinkard (FA)","1","1","5","5.0","5","0","0","0","0","0","0","4","1.0","0.3","0.0%"
"195","Max McCaffrey (FA)","1","1","4","4.0","4","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"196","Charone Peake (FA)","1","1","3","3.0","3","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"197","Matt Hazel (FA)","1","1","1","1.0","1","0","0","0","0","0","0","4","0.6","0.2","0.0%"
"198","Nick Williams (FA)","3","4","30","10.0","14","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"199","Anthony Johnson (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"200","Ryan Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"201","James Wright (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"202","Matthew Slater (NE)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"203","Dwayne Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"204","Lance Lenoir Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"205","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"206","David Moore (TB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.2%"
"207","Brendan Langley (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"208","Quincy Adeboyejo (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"209","Victor Bolden Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"210","Isaac Whitney (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"211","Marcus Kemp (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"212","Austin Carr (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"213","Bradley Marquez (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"214","Geremy Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"215","Ty Montgomery (NE)","23","31","173","7.5","23","3","1","71","273","3","0","8","0.0","0.0","0.7%"
"216","Stacy Coley (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"217","K.J. Brent (FA)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"218","Jace Billingsley (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"219","Andy Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"220","Ed Eagan (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"221","Mose Frazier (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"222","Krishawn Hogan (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"223","Robert Davis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"224","Marquis Bundy (FA)","0","3","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"225","Cody Core (FA)","0","4","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"226","Rashawn Scott (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","Andre Roberts (FA)","1","4","12","12.0","12","0","0","0","0","0","1","16","-0.3","0.0","0.0%"
"228","Kalif Raymond (DET)","1","1","12","12.0","12","0","0","1","-1","0","1","8","-0.4","0.0","0.7%"
"229","John Ross (FA)","0","2","0","0","0","0","0","1","12","0","1","3","-0.8","-0.3","0.1%"
""
""
