"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Rob Gronkowski (FA)","69","105","1,084","15.7","53","18","8","0","0","0","0","14","192.9","13.8","1.1%"
"2","Travis Kelce (KC)","83","122","1,038","12.5","44","19","8","2","7","0","0","15","192.0","12.8","100.0%"
"3","Zach Ertz (ARI)","74","110","824","11.1","53","7","8","0","0","0","1","14","165.4","11.8","25.4%"
"4","Jimmy Graham (NO)","57","96","520","9.1","33","8","10","0","0","0","0","16","142.5","8.9","0.3%"
"5","Evan Engram (JAC)","64","115","722","11.3","35","11","6","1","14","0","0","15","141.6","9.4","93.7%"
"6","Delanie Walker (FA)","74","111","807","10.9","42","9","3","2","-2","1","2","16","137.5","8.6","0.1%"
"7","Kyle Rudolph (FA)","57","81","532","9.3","34","4","8","0","0","0","0","16","129.7","8.1","0.0%"
"8","Jack Doyle (FA)","80","108","690","8.6","26","4","4","0","0","0","2","15","129.0","8.6","2.0%"
"9","Cameron Brate (FA)","48","77","591","12.3","35","5","6","0","0","0","0","16","119.1","7.4","2.0%"
"10","Jason Witten (FA)","63","87","560","8.9","28","3","5","0","0","0","1","16","115.5","7.2","0.0%"
"11","Benjamin Watson (FA)","61","79","522","8.6","33","5","4","0","0","0","0","16","106.7","6.7","2.8%"
"12","Eric Ebron (FA)","53","86","574","10.8","44","6","4","0","0","0","1","16","105.9","6.6","0.0%"
"13","Jared Cook (FA)","54","86","688","12.7","35","10","2","0","0","0","1","16","105.8","6.6","0.0%"
"14","Hunter Henry (NE)","45","62","579","12.9","34","8","4","0","0","0","0","14","104.4","7.5","9.2%"
"15","Tyler Kroft (MIA)","42","62","404","9.6","59","4","7","0","0","0","0","16","103.4","6.5","0.1%"
"16","Vernon Davis (FA)","43","69","648","15.1","69","11","3","0","0","0","2","16","100.3","6.3","1.6%"
"17","Austin Hooper (LV)","49","65","526","10.7","88","5","3","0","0","0","0","16","95.1","5.9","1.0%"
"18","Charles Clay (FA)","49","74","558","11.4","44","7","2","0","0","0","0","13","92.3","7.1","0.0%"
"19","O.J. Howard (FA)","26","39","432","16.6","58","9","6","0","0","0","2","14","88.2","6.3","0.0%"
"20","George Kittle (SF)","43","63","515","12.0","44","8","2","0","0","0","0","15","85.0","5.7","99.2%"
"21","David Njoku (CLE)","32","60","386","12.1","34","8","4","1","1","0","0","16","78.7","4.9","90.6%"
"22","Julius Thomas (FA)","41","62","388","9.5","27","4","3","0","0","0","0","14","77.3","5.5","0.0%"
"23","Austin Seferian-Jenkins (FA)","50","74","357","7.1","28","2","3","0","0","0","1","13","76.7","5.9","0.0%"
