"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Todd Gurley II (FA)","279","1,305","4.7","57","8","13","64","87","788","12.3","6","2","15","351.3","23.4","0.1%"
"2","Le'Veon Bell (FA)","321","1,291","4.0","27","3","9","85","106","655","7.7","2","2","15","299.1","19.9","0.1%"
"3","Alvin Kamara (NO)","120","728","6.1","74","5","8","81","100","826","10.2","5","1","16","273.9","17.1","92.6%"
"4","Kareem Hunt (FA)","272","1,327","4.9","69","12","8","53","63","455","8.6","3","1","16","268.7","16.8","12.0%"
"5","Melvin Gordon III (BAL)","284","1,105","3.9","87","5","8","58","83","476","8.2","4","0","16","259.1","16.2","0.7%"
"6","Mark Ingram II (FA)","230","1,124","4.9","72","11","12","58","71","416","7.2","0","3","16","249.0","15.6","0.1%"
"7","LeSean McCoy (FA)","287","1,138","4.0","48","12","6","59","77","448","7.6","2","1","16","234.1","14.6","2.0%"
"8","Leonard Fournette (FA)","268","1,040","3.9","90","4","9","36","48","302","8.4","1","0","13","212.2","16.3","7.0%"
"9","Carlos Hyde (FA)","240","938","3.9","61","6","8","59","88","350","5.9","0","1","16","204.3","12.8","0.0%"
"10","Ezekiel Elliott (NE)","242","983","4.1","30","5","7","26","38","269","10.3","2","1","10","190.2","19.0","61.1%"
"11","Christian McCaffrey (SF)","117","435","3.7","40","1","2","80","113","651","8.1","5","1","16","188.6","11.8","100.0%"
"12","Jordan Howard (FA)","276","1,122","4.1","53","5","9","23","32","125","5.4","0","1","16","188.2","11.8","0.0%"
"13","Devonta Freeman (FA)","196","865","4.4","44","5","7","36","47","317","8.8","1","1","14","182.2","13.0","0.0%"
"14","Dion Lewis (FA)","180","896","5.0","44","7","6","32","35","214","6.7","3","0","16","181.0","11.3","2.0%"
"15","Duke Johnson Jr. (FA)","82","348","4.2","19","0","4","74","93","693","9.4","3","2","16","179.1","11.2","0.0%"
"16","Lamar Miller (FA)","238","888","3.7","21","1","3","36","45","327","9.1","3","0","16","175.5","11.0","0.0%"
"17","C.J. Anderson (FA)","245","1,007","4.1","40","7","3","28","40","224","8.0","1","1","16","161.1","10.1","1.0%"
"18","Alex Collins (FA)","212","973","4.6","50","6","6","23","36","187","8.1","0","2","15","159.5","10.6","19.0%"
"19","Frank Gore (FA)","261","961","3.7","21","1","3","29","38","245","8.4","1","0","16","159.1","9.9","12.1%"
"20","Marshawn Lynch (FA)","207","891","4.3","51","5","7","20","31","151","7.6","0","1","15","154.2","10.3","0.3%"
"21","Tevin Coleman (FA)","156","628","4.0","52","6","5","27","39","299","11.1","3","0","15","154.2","10.3","0.0%"
"22","Jerick McKinnon (KC)","150","570","3.8","58","2","3","51","68","421","8.3","2","2","16","152.6","9.5","65.1%"
"23","DeMarco Murray (FA)","184","659","3.6","75","3","6","39","47","266","6.8","1","1","15","152.0","10.1","0.1%"
"24","Latavius Murray (BUF)","216","842","3.9","46","7","8","15","17","103","6.9","0","0","16","150.0","9.4","1.4%"
"25","Javorius Allen (FA)","153","591","3.9","37","1","4","46","60","250","5.4","2","0","16","143.1","8.9","0.1%"
"26","Bilal Powell (FA)","178","772","4.3","75","9","5","23","33","170","7.4","0","1","15","133.7","8.9","0.0%"
"27","Chris Thompson (FA)","64","294","4.6","61","1","2","39","54","510","13.1","4","2","10","131.9","13.2","0.0%"
"28","Jamaal Williams (NO)","153","556","3.6","25","1","4","25","34","262","10.5","2","0","16","130.3","8.1","85.4%"
