"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"29","Giovani Bernard (FA)","105","458","4.4","25","5","2","43","60","389","9.0","2","0","16","130.2","8.1","0.0%"
"30","Derrick Henry (TEN)","176","744","4.2","75","5","5","11","17","136","12.4","1","0","16","129.5","8.1","100.0%"
"31","Isaiah Crowell (FA)","206","853","4.1","59","5","2","28","42","182","6.5","0","1","16","129.5","8.1","0.1%"
"32","Orleans Darkwa (FA)","171","751","4.4","75","6","5","19","28","116","6.1","0","0","15","128.2","8.5","0.0%"
"33","Theo Riddick (FA)","84","286","3.4","21","1","3","53","71","444","8.4","2","1","16","127.5","8.0","0.0%"
"34","Joe Mixon (CIN)","178","626","3.5","25","2","4","30","34","287","9.6","0","2","14","126.3","9.0","99.3%"
"35","Kenyan Drake (IND)","133","644","4.8","66","7","3","32","48","239","7.5","1","2","16","126.3","7.9","1.6%"
"36","Jay Ajayi (FA)","208","873","4.2","71","6","1","24","34","158","6.6","1","2","14","123.1","8.8","7.0%"
"37","Tarik Cohen (FA)","87","370","4.3","46","4","2","53","71","353","6.7","1","2","16","117.6","7.4","0.0%"
"38","Rex Burkhead (FA)","64","264","4.1","31","2","5","30","36","254","8.5","3","0","10","114.8","11.5","10.0%"
"39","Jonathan Stewart (FA)","198","680","3.4","60","1","6","8","15","52","6.5","1","3","15","113.2","7.5","0.0%"
"40","Ameer Abdullah (LV)","165","552","3.3","34","5","4","25","35","162","6.5","1","1","14","111.9","8.0","1.1%"
"41","James White (FA)","43","171","4.0","10","0","0","56","72","429","7.7","3","0","14","106.0","7.6","0.1%"
"42","LeGarrette Blount (FA)","173","766","4.4","68","7","2","8","8","50","6.3","1","1","16","103.6","6.5","0.1%"
"43","Matt Forte (FA)","103","381","3.7","20","1","2","37","45","293","7.9","1","1","12","101.9","8.5","19.1%"
"44","Samaje Perine (DEN)","175","603","3.4","30","1","1","22","24","182","8.3","1","2","16","97.5","6.1","74.1%"
"45","Austin Ekeler (LAC)","47","260","5.5","35","3","2","27","35","279","10.3","3","2","16","93.4","5.8","100.0%"
"46","Matt Breida (NYG)","105","465","4.4","33","2","2","21","36","180","8.6","1","0","16","93.0","5.8","1.2%"
"47","Marlon Mack (ARI)","93","358","3.8","35","6","3","21","33","225","10.7","1","0","14","92.8","6.6","6.0%"
"48","Wayne Gallman Jr. (FA)","111","476","4.3","24","2","0","34","48","193","5.7","1","1","13","87.9","6.8","0.0%"
"49","Corey Clement (ARI)","74","321","4.3","28","2","4","10","15","123","12.3","2","0","16","87.4","5.5","0.4%"
"50","Rod Smith (FA)","55","232","4.2","45","1","4","19","23","202","10.6","1","0","15","82.9","5.5","0.0%"
"51","J.D. McKissic (FA)","46","187","4.1","30","1","1","34","46","266","7.8","2","0","13","80.3","6.2","0.0%"
"52","Ty Montgomery (NE)","71","273","3.8","37","1","3","23","31","173","7.5","1","0","8","80.1","10.0","0.7%"
"53","Peyton Barber (FA)","108","423","3.9","34","1","3","16","19","114","7.1","0","1","16","77.7","4.9","1.0%"
"54","Devontae Booker (FA)","79","299","3.8","26","1","1","30","38","275","9.2","0","1","13","76.4","5.9","0.0%"
"55","Aaron Jones (GB)","81","448","5.5","46","6","4","9","18","22","2.4","0","0","12","75.5","6.3","99.1%"
"56","Chris Ivory (FA)","112","382","3.4","34","1","1","21","28","175","8.3","1","2","14","74.2","5.3","0.0%"
"57","Adrian Peterson (FA)","156","529","3.4","27","2","2","11","19","70","6.4","0","2","10","73.4","7.3","2.1%"
"58","T.J. Yeldon (FA)","49","253","5.2","58","2","2","30","41","224","7.5","0","1","10","72.7","7.3","0.0%"
"59","Jalen Richard (FA)","56","275","4.9","52","2","1","27","36","256","9.5","1","3","16","72.6","4.5","1.0%"
"60","Doug Martin (FA)","138","406","2.9","27","1","3","9","18","84","9.3","0","1","11","71.5","6.5","0.0%"
"61","Alfred Morris (FA)","115","547","4.8","70","4","1","7","9","45","6.4","0","0","14","68.7","4.9","0.0%"
"62","Mike Gillislee (FA)","104","383","3.7","16","0","5","1","1","15","15.0","0","1","9","68.3","7.6","0.0%"
"63","DeAndre Washington (FA)","57","153","2.7","11","0","2","34","45","197","5.8","1","1","15","68.0","4.5","11.0%"
"64","Andre Ellington (FA)","20","55","2.8","14","0","1","39","59","369","9.5","0","0","12","67.9","5.7","0.1%"
"65","Elijah McGuire (FA)","88","315","3.6","69","1","1","17","26","177","10.4","1","2","16","67.7","4.2","0.0%"
"66","Kerwynn Williams (FA)","120","426","3.6","25","2","1","10","15","93","9.3","0","0","16","62.9","3.9","0.0%"
"67","Shane Vereen (FA)","45","164","3.6","17","0","0","44","53","253","5.8","0","0","16","61.7","3.9","0.0%"
"68","Dalvin Cook (NYJ)","74","354","4.8","33","4","2","11","16","90","8.2","0","1","4","59.9","15.0","91.7%"
"69","Charcandrick West (FA)","18","72","4.0","21","1","2","27","34","150","5.6","2","0","13","59.7","4.6","0.0%"
"70","Jamaal Charles (FA)","69","296","4.3","19","0","1","23","28","129","5.6","0","2","14","56.0","4.0","0.1%"
"71","Charles Sims (FA)","21","95","4.5","21","1","0","35","47","249","7.1","1","1","16","55.9","3.5","0.0%"
"72","D'Onta Foreman (CHI)","78","327","4.2","39","3","2","6","8","83","13.8","0","1","10","54.0","5.4","26.1%"
"73","Kyle Juszczyk (SF)","7","31","4.4","12","0","0","33","42","315","9.5","1","2","14","53.1","3.8","0.3%"
"74","Damien Williams (LV)","46","181","3.9","69","1","0","20","28","155","7.8","1","0","11","49.6","4.5","0.1%"
"75","Benny Cunningham Jr. (FA)","9","29","3.2","12","0","0","20","26","240","12.0","2","1","14","46.9","3.4","0.0%"
"76","Mike Davis (FA)","68","240","3.5","33","3","0","15","18","131","8.7","0","0","6","44.6","7.4","1.0%"
"77","Mike Tolbert (FA)","66","247","3.7","25","1","1","14","17","78","5.6","0","1","12","43.5","3.6","0.0%"
"78","Jacquizz Rodgers (FA)","64","244","3.8","36","1","1","9","11","74","8.2","0","0","16","42.3","2.6","0.0%"
"79","Danny Woodhead (FA)","14","56","4.0","10","0","0","33","39","200","6.1","0","0","8","42.1","5.3","20.6%"
"80","Robert Kelley (FA)","62","194","3.1","21","1","3","4","7","18","4.5","0","0","7","41.2","5.9","0.0%"
"81","Alfred Blue (FA)","71","262","3.7","48","1","1","7","9","54","7.7","0","0","11","41.1","3.7","0.0%"
"82","Corey Grant (FA)","30","248","8.3","58","3","2","3","4","41","13.7","0","1","16","40.4","2.5","0.0%"
"83","Malcolm Brown (FA)","63","246","3.9","20","1","1","9","11","53","5.9","0","0","11","40.4","3.7","0.0%"
"84","Wendell Smallwood (FA)","47","174","3.7","26","2","1","13","18","103","7.9","0","0","8","40.2","5.0","0.0%"
"85","Chris Carson (FA)","49","208","4.2","30","1","0","7","8","59","8.4","1","0","4","36.2","9.1","0.3%"
"86","Kapri Bibbs (FA)","21","79","3.8","16","0","0","14","17","128","9.1","1","0","3","33.7","11.2","0.1%"
"87","Tion Green (FA)","42","165","3.9","33","1","2","2","2","14","7.0","0","0","5","30.9","6.2","0.0%"
"88","Elijhaa Penny (FA)","31","124","4.0","14","0","2","4","6","38","9.5","0","0","16","30.2","1.9","0.0%"
"89","Travaris Cadet (FA)","23","96","4.2","12","0","0","16","19","119","7.4","0","0","9","29.5","3.3","0.0%"
"90","Thomas Rawls (FA)","58","157","2.7","23","1","0","9","13","94","10.4","0","1","12","27.6","2.3","0.1%"
"91","Terrance West (FA)","39","138","3.5","13","0","2","2","4","23","11.5","0","1","5","27.1","5.4","0.0%"
"92","Tommy Bohanon (FA)","5","5","1.0","3","0","2","6","11","43","7.2","1","0","16","25.8","1.6","0.0%"
"93","Eddie Lacy (FA)","69","179","2.6","19","0","0","6","6","47","7.8","0","0","9","25.6","2.8","0.3%"
"94","D.J. Foster (FA)","6","19","3.2","5","0","0","17","28","133","7.8","0","0","7","23.7","3.4","0.0%"
"95","Robert Turbin (FA)","23","53","2.3","7","0","1","9","11","56","6.2","0","0","6","21.4","3.6","0.0%"
"96","Kenjon Barner (FA)","16","57","3.6","18","0","1","5","8","56","11.2","0","0","13","19.8","1.5","0.0%"
"97","Chris Johnson (FA)","45","114","2.5","11","0","0","5","6","43","8.6","0","0","4","18.2","4.6","0.6%"
"98","Anthony Sherman (FA)","14","40","2.9","9","0","1","6","8","47","7.8","0","0","16","17.7","1.1","0.0%"
"99","C.J. Ham (MIN)","7","13","1.9","3","0","1","7","8","68","9.7","0","0","16","17.6","1.1","0.1%"
"100","Paul Perkins (FA)","41","90","2.2","14","0","0","8","10","46","5.8","0","0","11","17.6","1.6","0.0%"
"101","Stevan Ridley (FA)","26","108","4.2","21","1","1","0","0","0","0","0","0","2","16.8","8.4","0.0%"
"102","Jamize Olawale (FA)","9","43","4.8","11","0","1","6","7","33","5.5","0","0","12","16.6","1.4","0.0%"
"103","Cameron Artis-Payne (FA)","18","95","5.3","43","1","1","1","1","2","2.0","0","0","13","16.2","1.2","0.0%"
"104","Patrick Ricard (BAL)","0","0","0","0","0","0","4","4","12","3.0","2","0","16","15.2","1.0","0.1%"
"105","Jeremy Hill (FA)","37","116","3.1","13","0","0","4","4","16","4.0","0","0","7","15.2","2.2","0.0%"
"106","Fozzy Whittaker (FA)","7","18","2.6","8","0","0","5","6","47","9.4","1","0","12","15.0","1.3","0.0%"
"107","Darren Sproles (FA)","15","61","4.1","12","0","0","7","12","73","10.4","0","1","3","14.9","5.0","0.1%"
"108","James Conner (ARI)","32","144","4.5","23","1","0","0","1","0","0","0","0","14","14.4","1.0","95.0%"
"109","C.J. Prosise (FA)","11","23","2.1","8","0","0","6","11","87","14.5","0","0","5","14.0","2.8","0.0%"
"110","Branden Oliver (FA)","35","83","2.4","26","1","0","6","11","26","4.3","0","0","8","13.9","1.7","0.0%"
"111","Terron Ward (FA)","30","129","4.3","17","0","0","3","3","14","4.7","0","1","14","13.8","1.0","0.0%"
"112","Roosevelt Nix (FA)","3","0","0.0","1","0","1","2","3","6","3.0","1","0","16","13.6","0.9","0.0%"
"113","Andy Janovich (FA)","6","12","2.0","4","0","1","4","6","35","8.8","0","0","16","12.7","0.8","0.0%"
"114","De'Angelo Henderson Sr. (FA)","7","13","1.9","5","0","0","2","2","36","18.0","1","0","5","11.9","2.4","0.0%"
"115","Lance Dunbar (FA)","11","51","4.6","12","0","1","1","3","1","1.0","0","0","4","11.7","2.9","0.0%"
"116","Trey Edmunds (FA)","9","48","5.3","41","1","1","0","0","0","0","0","0","16","10.8","0.7","0.0%"
"117","Zach Line (FA)","7","28","4.0","9","0","0","2","5","8","4.0","1","0","12","10.6","0.9","0.0%"
"118","David Johnson (FA)","11","23","2.1","6","0","0","6","9","67","11.2","0","1","1","10.0","10.0","0.0%"
"119","Byron Marshall (FA)","9","32","3.6","11","0","0","6","8","36","6.0","0","0","4","9.8","2.5","0.1%"
"120","Tyler Ervin (FA)","4","12","3.0","6","0","0","8","11","38","4.8","0","0","4","9.0","2.3","0.0%"
"121","Aaron Ripkowski (FA)","5","13","2.6","4","0","0","7","10","39","5.6","0","0","16","8.7","0.5","0.0%"
"122","Zach Zenner (FA)","14","26","1.9","14","0","1","0","1","0","0","0","0","8","8.6","1.1","0.0%"
"123","Brian Hill (SF)","11","37","3.4","11","0","0","2","2","36","18.0","0","0","7","8.3","1.2","0.0%"
"124","Brandon Bolden (LV)","13","67","5.2","20","1","0","1","4","7","7.0","0","0","16","7.9","0.5","0.2%"
"125","Tre Madden (FA)","0","0","0","0","0","0","2","2","65","32.5","0","0","8","7.5","0.9","0.1%"
"126","Akeem Hunt (FA)","8","23","2.9","11","0","0","4","7","31","7.8","0","0","15","7.4","0.5","0.0%"
"127","Derek Watt (FA)","6","24","4.0","17","0","0","2","3","35","17.5","0","0","16","6.9","0.4","0.0%"
"128","Dwayne Washington (DEN)","20","44","2.2","6","0","0","2","2","14","7.0","0","0","5","6.8","1.4","0.0%"
"129","James Develin (FA)","0","0","0","0","0","0","6","10","38","6.3","0","0","16","6.8","0.4","0.0%"
"130","Jalston Fowler (FA)","2","4","2.0","3","0","1","0","1","0","0","0","0","10","6.4","0.6","0.0%"
"131","Matt Dayes (FA)","5","13","2.6","4","0","0","4","5","29","7.3","0","0","16","6.2","0.4","0.0%"
"132","Patrick DiMarco (FA)","2","-2","-1.0","0","0","0","7","10","28","4.0","0","0","16","6.1","0.4","0.0%"
"133","Marcus Murphy (FA)","7","41","5.9","25","1","0","2","2","7","3.5","0","0","1","5.8","5.8","0.0%"
"134","Keith Smith (ATL)","0","0","0","0","0","0","5","5","26","5.2","0","0","16","5.1","0.3","0.0%"
"135","Jay Prosch (FA)","0","0","0","0","0","0","4","4","31","7.8","0","0","16","5.1","0.3","0.0%"
"136","Mack Brown (FA)","8","29","3.6","11","0","0","1","1","11","11.0","0","0","4","4.5","1.1","0.0%"
"137","Bobby Rainey (FA)","1","2","2.0","2","0","0","5","7","18","3.6","0","0","4","4.5","1.1","0.0%"
"138","Fitzgerald Toussaint (FA)","6","25","4.2","7","0","0","2","3","9","4.5","0","0","6","4.4","0.7","0.0%"
"139","De'Veon Smith (FA)","0","0","0","0","0","0","3","3","27","9.0","0","0","5","4.2","0.8","0.0%"
"140","Derrick Coleman (FA)","2","8","4.0","5","0","0","2","7","20","10.0","0","0","16","3.8","0.2","0.1%"
"141","Senorise Perry (FA)","8","30","3.8","12","0","0","1","1","3","3.0","0","0","16","3.8","0.2","0.0%"
"142","Josh Ferguson (FA)","1","5","5.0","5","0","0","3","4","16","5.3","0","0","10","3.6","0.4","0.0%"
"143","Danny Vitale (FA)","0","0","0","0","0","0","3","5","19","6.3","0","0","15","3.4","0.2","0.0%"
"144","Ryan Hewitt (FA)","0","0","0","0","0","0","2","2","22","11.0","0","0","13","3.2","0.2","0.0%"
"145","Michael Burton (DEN)","4","9","2.3","7","0","0","2","4","8","4.0","0","0","16","2.7","0.2","0.0%"
"146","Andre Williams (FA)","9","25","2.8","7","0","0","0","0","0","0","0","0","8","2.5","0.3","0.0%"
"147","David Fluellen (FA)","4","21","5.3","10","0","0","0","1","0","0","0","0","16","2.1","0.1","0.0%"
"148","Taiwan Jones (FA)","0","0","0","0","0","0","1","2","11","11.0","0","0","8","1.6","0.2","0.0%"
"149","LeShun Daniels (FA)","3","14","4.7","8","0","0","0","0","0","0","0","0","4","1.4","0.4","0.0%"
"150","Matt Jones (FA)","5","14","2.8","5","0","0","0","0","0","0","0","0","5","1.4","0.3","0.0%"
"151","Raheem Mostert (MIA)","6","30","5.0","16","0","0","0","0","0","0","0","1","11","1.0","0.1","54.0%"
"152","Joe Kerridge (FA)","0","0","0","0","0","0","1","1","3","3.0","0","0","4","0.8","0.2","0.0%"
"153","Terrell Watson (FA)","5","8","1.6","3","0","0","0","0","0","0","0","0","10","0.8","0.1","0.0%"
"154","John Kuhn (FA)","1","2","2.0","2","0","0","0","0","0","0","0","0","2","0.2","0.1","0.0%"
"155","Justin Davis (FA)","1","1","1.0","1","0","0","0","0","0","0","0","0","4","0.1","0.0","0.0%"
"156","Nick Bellore (SEA)","0","0","0","0","0","0","1","1","1","1.0","1","0","13","0.0","0.0","28.0%"
"157","Jordan Todman (FA)","0","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"158","Joe Banyard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"159","Cordarrelle Patterson (ATL)","13","121","9.3","47","2","2","31","42","309","10.0","0","0","16","0.0","0.0","12.0%"
"160","C.J. Spiller (FA)","2","0","0.0","1","0","0","0","2","0","0","0","0","1","0.0","0.0","0.1%"
"161","Dare Ogunbowale (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.2%"
"162","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"163","Jarveon Williams (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"164","Alex Armah Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"165","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.1%"
"166","Terrence Magee (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"167","Lawrence Thomas (FA)","2","1","0.5","1","0","0","6","7","43","7.2","0","0","14","0.0","0.0","0.0%"
"168","Jeremy McNichols (SF)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"169","Marquez Williams (FA)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"170","Elijah Hood (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"171","Tani Tupou (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"172","Daniel Lasco (FA)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"173","Bronson Hill (FA)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","2","-0.2","-0.1","0.0%"
"174","Darren McFadden (FA)","1","-2","-2.0","0","0","0","0","0","0","0","0","0","1","-0.2","-0.2","7.0%"
"175","Devante Mays (FA)","4","1","0.3","2","0","0","3","3","0","0.0","0","1","8","-0.4","-0.1","0.1%"
""
""
