"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"55","O.J. Howard (FA)","11","19","146","13.3","33","3","2","0","0","0","0","4","32.1","8.0","0.0%"
"56","Jesse James (NO)","14","22","129","9.2","31","3","2","0","0","0","0","16","31.9","2.0","0.0%"
"57","Adam Trautman (DEN)","15","16","171","11.4","41","4","1","0","0","0","0","15","30.6","2.0","0.2%"
"58","Ian Thomas (CAR)","20","31","145","7.3","21","1","1","0","0","0","0","16","30.5","1.9","0.1%"
"59","Nick Boyle (FA)","14","17","113","8.1","21","1","2","0","0","0","0","9","30.3","3.4","0.0%"
"60","Foster Moreau (NO)","7","9","140","20.0","47","7","2","0","0","0","0","16","29.5","1.8","0.7%"
"61","Jason Witten (FA)","13","17","69","5.3","15","0","2","0","0","0","0","16","25.4","1.6","0.0%"
"62","Ryan Izzo (FA)","13","20","199","15.3","50","6","0","0","0","0","1","12","24.4","2.0","0.0%"
"63","Albert Okwuegbunam (DEN)","11","15","121","11.0","27","1","1","0","0","0","0","4","23.6","5.9","0.6%"
"64","Jace Sternberger (BUF)","12","15","114","9.5","27","2","1","0","0","0","0","12","23.4","2.0","0.0%"
"65","Nick Vannett (HOU)","14","21","95","6.8","19","0","1","0","0","0","0","15","22.5","1.5","0.0%"
"66","Maxx Williams (FA)","8","10","102","12.8","42","4","1","0","0","0","0","9","20.2","2.2","0.0%"
"67","Kaden Smith (WAS)","18","21","112","6.2","16","0","0","0","0","0","0","15","20.2","1.3","0.0%"
"68","MyCole Pruitt (ATL)","5","8","49","9.8","22","1","2","0","0","0","0","11","19.4","1.8","0.0%"
"69","Darrell Daniels (DET)","8","11","92","11.5","31","3","1","0","0","0","0","12","19.2","1.6","0.0%"
"70","Geoff Swaim (ARI)","9","12","83","9.2","16","0","1","0","0","0","0","10","18.8","1.9","0.0%"
"71","C.J. Uzomah (NYJ)","8","11","87","10.9","23","1","1","0","0","0","0","2","18.7","9.4","0.2%"
"72","Troy Fumagalli (SF)","8","15","80","10.0","29","1","1","0","0","0","0","8","18.0","2.3","0.0%"
"73","Lee Smith (FA)","4","6","35","8.8","27","1","2","0","0","0","0","10","17.5","1.8","0.0%"
"74","Vance McDonald (FA)","15","20","99","6.6","15","0","0","0","0","0","0","14","17.4","1.2","0.0%"
"75","Blake Bell (KC)","11","15","110","10.0","24","1","0","1","2","0","0","16","16.7","1.0","0.1%"
"76","Stephen Anderson (FA)","8","11","106","13.3","23","1","0","0","0","0","0","16","14.6","0.9","0.0%"
"77","Josh Hill (FA)","8","10","46","5.8","16","0","1","0","0","0","0","14","14.6","1.0","0.0%"
"78","Ryan Griffin (FA)","9","12","86","9.6","23","1","0","0","0","0","0","15","13.1","0.9","0.0%"
"79","Virgil Green (FA)","3","6","50","16.7","26","1","1","0","0","0","0","6","12.5","2.1","0.0%"
"80","Devin Asiasi (CIN)","2","7","39","19.5","26","1","1","0","0","0","0","8","10.9","1.4","0.0%"
"81","Luke Stocker (FA)","7","11","63","9.0","25","1","0","0","0","0","0","16","9.8","0.6","0.0%"
"82","Dominique Dafney (TB)","2","2","26","13.0","13","0","1","0","0","0","0","5","9.6","1.9","0.0%"
"83","Chris Manhertz (DEN)","6","8","52","8.7","17","0","0","0","0","0","0","16","8.2","0.5","0.0%"
"84","Demetrius Harris (FA)","7","14","45","6.4","9","0","0","0","0","0","0","15","8.0","0.5","0.0%"
"85","Cethan Carter (FA)","5","7","53","10.6","24","2","0","0","0","0","0","15","7.8","0.5","0.0%"
"86","Johnny Mundt (MIN)","4","4","53","13.3","34","2","0","0","0","0","0","16","7.3","0.5","0.0%"
"87","Nick Keizer (FA)","6","10","63","10.5","22","1","0","0","0","0","1","16","7.3","0.5","0.0%"
"88","Colin Thompson (MIN)","1","2","7","7.0","7","0","1","0","0","0","0","15","7.2","0.5","0.0%"
"89","Levine Toilolo (FA)","5","6","46","9.2","14","0","0","0","0","0","0","16","7.1","0.4","0.0%"
"90","Deon Yelder (FA)","7","11","36","5.1","12","0","0","0","0","0","0","14","7.1","0.5","0.0%"
"91","Jason Croom (FA)","1","1","3","3.0","3","0","1","0","0","0","0","4","6.8","1.7","0.0%"
"92","Jordan Thomas (CAR)","1","2","3","3.0","3","0","1","0","0","0","0","6","6.8","1.1","0.0%"
"93","Juwan Johnson (NO)","4","10","39","9.8","19","0","0","0","0","0","0","7","5.9","0.8","20.8%"
"94","Tanner Hudson (CIN)","3","7","41","13.7","20","1","0","0","0","0","0","11","5.6","0.5","0.0%"
"95","Charlie Woerner (SF)","3","4","36","12.0","18","0","0","0","0","0","0","14","5.1","0.4","0.0%"
"96","Kahale Warring (FA)","3","7","35","11.7","23","1","0","0","0","0","0","7","5.0","0.7","0.0%"
"97","Hunter Bryant (FA)","1","3","44","44.0","44","3","0","0","0","0","0","5","4.9","1.0","0.0%"
"98","Daniel Brown (FA)","2","2","31","15.5","18","0","0","0","0","0","0","16","4.1","0.3","0.0%"
"99","Jaeden Graham (FA)","3","5","25","8.3","11","0","0","0","0","0","0","16","4.0","0.3","0.0%"
"100","Stephen Carlson (CHI)","1","2","11","11.0","11","0","0","0","0","0","0","16","3.6","0.2","0.0%"
"101","Ben Ellefson (FA)","1","4","10","10.0","10","0","0","0","0","0","0","7","3.5","0.5","0.0%"
"102","Dalton Keene (HOU)","3","5","16","5.3","8","0","0","0","0","0","0","6","3.1","0.5","0.0%"
"103","Eric Saubert (MIA)","3","4","16","5.3","9","0","0","0","0","0","0","8","3.1","0.4","0.1%"
"104","Colby Parkinson (SEA)","2","2","16","8.0","10","0","0","0","0","0","0","6","2.6","0.4","0.1%"
"105","Derek Carrier (FA)","1","1","14","14.0","14","0","0","0","0","0","0","16","1.9","0.1","0.0%"
"106","Blake Jarwin (FA)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.7","1.7","4.0%"
"107","Luke Willson (FA)","1","3","12","12.0","12","0","0","0","0","0","0","8","1.7","0.2","0.0%"
"108","Josiah Deguara (GB)","1","2","12","12.0","12","0","0","0","0","0","0","2","1.7","0.9","0.1%"
"109","Temarrick Hemingway (FA)","1","2","10","10.0","10","0","0","0","0","0","0","8","1.5","0.2","0.0%"
"110","Jake Butt (FA)","2","4","5","2.5","5","0","0","0","0","0","0","5","1.5","0.3","0.1%"
"111","Jeremy Sprinkle (FA)","1","3","6","6.0","6","0","0","0","0","0","0","16","1.1","0.1","0.0%"
"112","Brandon Dillon (WAS)","1","1","6","6.0","6","0","0","0","0","0","0","3","1.1","0.4","0.0%"
"113","Trevon Wesco (TEN)","1","2","5","5.0","5","0","0","1","0","0","0","12","1.0","0.1","0.0%"
"114","Isaac Nauta (FA)","1","2","3","3.0","3","0","0","0","0","0","0","7","0.8","0.1","0.0%"
"115","Marcus Baugh (FA)","1","1","2","2.0","2","0","0","0","0","0","0","8","0.7","0.1","0.0%"
"116","Bruce Miller (FA)","1","2","2","2.0","2","0","0","0","0","0","0","8","0.7","0.1","0.0%"
"117","Jake Bargas (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"118","Farrod Green (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"119","Tyler Davis (GB)","0","2","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"120","Nate Becker (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"121","Matt Sokol (NE)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"122","Caleb Wilson (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"123","Zach Gentry (PIT)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"124","Andrew Beck (HOU)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"125","Hale Hentges (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"126","Tommy Stevens (FA)","0","0","0","0","0","0","0","4","24","0","0","1","0.0","0.0","0.0%"
"127","Lawrence Cager (NYG)","2","6","35","17.5","19","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"128","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"129","Reggie Gilliam (BUF)","2","2","16","8.0","15","0","1","0","0","0","0","14","0.0","0.0","0.0%"
"130","Rashod Berry (IND)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"131","Noah Togiai (ARI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"132","Chris Myarick (NYG)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"133","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"134","Antonio Gandy-Golden (FA)","1","7","3","3.0","3","0","0","1","22","0","0","6","0.0","0.0","0.0%"
"135","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Daniel Helm (DET)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"137","Jordan Matthews (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"138","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"139","Mason Schreck (HOU)","0","1","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"140","Garrett Griffin (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"141","Antony Auclair (FA)","0","1","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"142","Ricky Seals-Jones (IND)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"143","Evan Baylis (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"144","J.P. Holtz (NO)","0","1","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"145","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"146","Sean Culkin (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"147","Kevin Rader (TEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"148","Hakeem Butler (FA)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"149","Taysom Hill (NO)","8","13","98","12.3","21","2","1","87","457","8","5","16","0.0","0.0","12.8%"
"150","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"151","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.2%"
"152","Ross Travis (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"153","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"154","Tyler Ott (BAL)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"155","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.0%"
"156","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"157","Seth DeValve (FA)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"158","Eric Tomlinson (HOU)","0","1","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
""
""
