"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","29","11","0","0","0","1","15","260.3","17.4","100.0%"
"2","Darren Waller (NYG)","107","145","1,196","11.2","38","19","9","0","0","0","2","16","225.1","14.1","98.6%"
"3","Robert Tonyan (CHI)","52","59","586","11.3","45","13","11","0","0","0","0","16","150.6","9.4","0.7%"
"4","T.J. Hockenson (MIN)","67","101","723","10.8","51","10","6","1","0","0","1","16","141.8","8.9","99.2%"
"5","Mark Andrews (BAL)","58","88","701","12.1","39","13","7","0","0","0","0","14","141.1","10.1","99.9%"
"6","Logan Thomas (WAS)","72","110","670","9.3","30","6","6","3","5","0","0","16","140.6","8.8","1.7%"
"7","Mike Gesicki (NE)","53","85","703","13.3","70","14","6","0","0","0","0","15","132.8","8.9","15.3%"
"8","Rob Gronkowski (FA)","45","77","623","13.8","48","16","7","0","0","0","0","16","126.8","7.9","1.1%"
"9","Hayden Hurst (CAR)","56","88","571","10.2","42","8","6","0","0","0","0","16","121.1","7.6","7.7%"
"10","Jonnu Smith (ATL)","41","65","448","10.9","63","8","8","2","4","1","0","15","119.7","8.0","0.3%"
"11","Jimmy Graham (NO)","50","76","456","9.1","30","5","8","0","0","0","0","16","118.6","7.4","0.3%"
"12","Noah Fant (SEA)","62","93","673","10.9","37","11","3","0","0","0","0","15","118.3","7.9","3.5%"
"13","Hunter Henry (NE)","60","93","613","10.2","33","6","4","0","0","0","0","14","115.3","8.2","9.2%"
"14","Dalton Schultz (HOU)","63","89","615","9.8","28","3","4","0","0","0","1","16","115.0","7.2","76.7%"
"15","Eric Ebron (FA)","56","91","558","10.0","27","6","5","0","0","0","1","15","113.8","7.6","0.0%"
"16","Evan Engram (JAC)","63","109","654","10.4","53","12","1","6","26","1","1","16","109.5","6.8","93.7%"
"17","Jared Cook (FA)","37","60","504","13.6","46","12","7","0","0","0","1","15","108.9","7.3","0.0%"
"18","Tyler Higbee (LAR)","44","60","521","11.8","44","14","5","1","1","0","0","15","106.2","7.1","73.1%"
"19","George Kittle (SF)","48","63","634","13.2","44","13","2","2","17","0","0","8","101.1","12.6","99.2%"
"20","Dallas Goedert (PHI)","46","65","524","11.4","41","11","3","0","0","0","0","11","93.4","8.5","96.8%"
"21","Austin Hooper (LV)","46","70","435","9.5","36","4","4","0","0","0","0","13","90.5","7.0","1.0%"
"22","Irv Smith Jr. (CIN)","30","43","365","12.2","36","7","5","0","0","0","0","13","83.5","6.4","11.2%"
"23","Dan Arnold (PHI)","31","45","438","14.1","59","13","4","0","0","0","1","16","81.3","5.1","0.1%"
"24","Gerald Everett (LAC)","41","62","417","10.2","40","5","1","1","2","1","1","16","72.4","4.5","46.5%"
"25","Trey Burton (FA)","28","47","250","8.9","20","1","3","2","3","2","0","13","69.3","5.3","0.0%"
"26","Darren Fells (FA)","21","28","312","14.9","44","6","4","0","0","0","0","16","65.7","4.1","0.0%"
"27","Jordan Akins (CLE)","37","49","403","10.9","26","7","1","1","4","0","0","13","65.2","5.0","0.1%"
"28","Tyler Eifert (FA)","36","60","349","9.7","28","1","2","0","0","0","0","15","64.9","4.3","0.0%"
"29","Mo Alie-Cox (IND)","31","39","394","12.7","45","9","2","0","0","0","1","15","64.9","4.3","0.1%"
"30","Anthony Firkser (NE)","39","53","387","9.9","45","6","1","0","0","0","0","16","64.2","4.0","0.0%"
"31","Jordan Reed (FA)","26","46","231","8.9","26","1","4","0","0","0","0","10","60.1","6.0","19.0%"
"32","Zach Ertz (ARI)","36","72","335","9.3","42","7","1","0","0","0","0","11","59.5","5.4","25.4%"
"33","Drew Sample (CIN)","40","53","349","8.7","23","1","1","0","0","0","1","16","58.9","3.7","0.1%"
"34","Richard Rodgers (FA)","24","31","345","14.4","33","7","2","0","0","0","0","14","58.5","4.2","0.0%"
"35","Chris Herndon IV (FA)","31","46","287","9.3","26","3","3","0","0","0","2","16","58.2","3.6","0.0%"
"36","Dawson Knox (BUF)","24","44","288","12.0","36","4","3","0","0","0","2","12","54.8","4.6","19.1%"
"37","Cameron Brate (FA)","28","34","282","10.1","25","2","2","0","0","0","0","16","54.2","3.4","2.0%"
"38","Jacob Hollister (LV)","25","40","209","8.4","20","1","3","0","0","0","0","16","53.4","3.3","0.0%"
"39","Jack Doyle (FA)","23","33","251","10.9","28","2","3","0","0","0","1","14","52.6","3.8","2.0%"
"40","Kyle Rudolph (FA)","28","37","334","11.9","25","5","1","0","0","0","1","12","51.4","4.3","0.0%"
"41","Harrison Bryant (CLE)","24","38","238","9.9","35","2","3","0","0","0","2","15","49.8","3.3","0.1%"
"42","Will Dissly (SEA)","24","29","251","10.5","28","3","2","0","0","0","0","16","49.1","3.1","0.3%"
"43","Cole Kmet (CHI)","28","44","243","8.7","38","2","2","1","-3","0","1","16","48.0","3.0","79.4%"
"44","Durham Smythe (MIA)","26","29","208","8.0","19","0","2","0","0","0","0","15","45.8","3.1","0.2%"
"45","David Njoku (CLE)","19","29","213","11.2","28","4","2","0","0","0","0","13","42.8","3.3","90.6%"
"46","Greg Olsen (FA)","24","37","239","10.0","22","3","1","0","0","0","0","11","41.9","3.8","7.0%"
"47","James O'Shaughnessy (FA)","28","38","262","9.4","26","3","0","0","0","0","0","15","40.2","2.7","0.0%"
"48","Ross Dwelley (SF)","19","24","245","12.9","36","4","1","0","0","0","0","16","40.0","2.5","0.0%"
"49","Adam Shaheen (FA)","12","22","150","12.5","43","4","3","0","0","0","0","16","39.0","2.4","0.0%"
"50","Donald Parham Jr. (LAC)","10","20","159","15.9","26","4","3","0","0","0","0","13","38.9","3.0","0.2%"
"51","Tyler Kroft (MIA)","12","16","119","9.9","38","2","3","0","0","0","0","10","35.9","3.6","0.1%"
"52","Pharaoh Brown (IND)","14","16","163","11.6","29","2","2","0","0","0","0","13","35.3","2.7","0.0%"
"53","Tyler Conklin (NYJ)","19","26","194","10.2","30","3","1","0","0","0","0","16","34.9","2.2","9.8%"
"54","Marcedes Lewis (CHI)","10","17","107","10.7","36","2","3","0","0","0","0","15","33.7","2.2","0.0%"
