"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Alvin Kamara (NO)","187","932","5.0","49","13","16","83","107","756","9.1","5","0","15","336.3","22.4","92.6%"
"2","Derrick Henry (TEN)","378","2,027","5.4","94","30","17","19","31","114","6.0","0","2","16","323.6","20.2","100.0%"
"3","Dalvin Cook (NYJ)","312","1,557","5.0","70","12","16","44","54","361","8.2","1","3","14","315.8","22.6","91.7%"
"4","David Montgomery (DET)","247","1,070","4.3","80","12","8","54","68","438","8.1","2","1","15","237.8","15.9","91.3%"
"5","Aaron Jones (GB)","201","1,104","5.5","77","17","9","47","63","355","7.6","2","0","14","235.4","16.8","99.1%"
"6","Jonathan Taylor (IND)","232","1,169","5.0","62","15","11","36","40","299","8.3","1","1","15","234.8","15.7","99.7%"
"7","James Robinson (NYG)","240","1,070","4.5","47","8","7","49","60","344","7.0","3","1","14","225.9","16.1","0.8%"
"8","Josh Jacobs (LV)","273","1,065","3.9","28","3","12","33","45","238","7.2","0","2","15","214.8","14.3","99.9%"
"9","Nick Chubb (CLE)","190","1,067","5.6","59","20","12","16","18","150","9.4","0","1","12","199.7","16.6","99.9%"
"10","Kareem Hunt (FA)","198","841","4.2","33","4","6","38","51","304","8.0","5","0","16","199.5","12.5","12.0%"
"11","Ezekiel Elliott (NE)","244","979","4.0","31","4","6","52","71","338","6.5","2","5","15","197.7","13.2","61.1%"
"12","Antonio Gibson (WAS)","170","795","4.7","40","8","11","36","44","247","6.9","0","2","14","184.2","13.2","81.1%"
"13","Melvin Gordon III (BAL)","215","986","4.6","65","10","9","32","44","158","4.9","1","4","15","182.4","12.2","0.7%"
"14","Kenyan Drake (IND)","239","955","4.0","69","10","10","25","31","137","5.5","0","1","15","179.7","12.0","1.6%"
"15","Mike Davis (FA)","165","642","3.9","25","2","6","59","70","373","6.3","2","1","15","177.0","11.8","1.0%"
"16","Ronald Jones II (DAL)","192","978","5.1","98","11","7","28","42","165","5.9","1","2","14","172.3","12.3","1.2%"
"17","Chris Carson (FA)","141","681","4.8","29","3","5","37","46","287","7.8","4","0","12","169.3","14.1","0.3%"
"18","D'Andre Swift (PHI)","114","521","4.6","54","4","8","46","57","357","7.8","2","2","13","166.8","12.8","90.0%"
"19","David Johnson (FA)","147","691","4.7","48","7","6","33","46","314","9.5","2","1","12","163.0","13.6","0.0%"
"20","Nyheim Hines (BUF)","89","380","4.3","31","4","3","63","76","482","7.7","4","0","16","161.7","10.1","0.5%"
"21","J.K. Dobbins (BAL)","134","805","6.0","72","15","9","18","24","120","6.7","0","0","15","159.5","10.6","92.1%"
"22","Clyde Edwards-Helaire (KC)","181","803","4.4","31","4","4","36","54","297","8.3","1","0","13","158.0","12.2","13.2%"
"23","Miles Sanders (CAR)","164","867","5.3","82","13","6","28","52","197","7.0","0","2","12","156.4","13.0","95.0%"
"24","J.D. McKissic (FA)","85","365","4.3","17","0","1","80","110","589","7.4","2","1","16","151.4","9.5","0.0%"
"25","Todd Gurley II (FA)","195","678","3.5","35","3","9","25","35","164","6.6","0","0","15","150.7","10.0","0.1%"
"26","James Conner (ARI)","169","721","4.3","59","8","6","35","43","215","6.1","0","0","13","147.1","11.3","95.0%"
"27","Myles Gaskin (MIA)","142","584","4.1","26","3","3","41","47","388","9.5","2","2","10","143.7","14.4","0.1%"
"28","Chase Edmonds (TB)","97","448","4.6","32","5","1","53","67","402","7.6","4","0","16","141.5","8.8","3.4%"
"29","Austin Ekeler (LAC)","116","530","4.6","27","2","1","54","65","403","7.5","2","0","10","138.3","13.8","100.0%"
"30","Jeff Wilson Jr. (MIA)","126","600","4.8","34","4","7","13","28","133","10.2","3","2","12","135.8","11.3","51.6%"
"31","Giovani Bernard (FA)","124","416","3.4","15","0","3","47","59","355","7.6","3","1","16","134.6","8.4","0.0%"
"32","Wayne Gallman Jr. (FA)","147","682","4.6","60","6","6","21","27","114","5.4","0","0","15","126.1","8.4","0.0%"
"33","Latavius Murray (BUF)","146","656","4.5","36","4","4","23","26","176","7.7","1","0","15","124.7","8.3","1.4%"
"34","Devin Singletary (HOU)","156","687","4.4","51","6","2","38","50","269","7.1","0","1","16","124.6","7.8","39.4%"
"35","Gus Edwards (BAL)","144","723","5.0","36","10","6","9","13","129","14.3","0","1","16","123.7","7.7","14.6%"
"36","Darrell Henderson Jr. (FA)","138","624","4.5","40","6","5","16","24","159","9.9","1","0","15","122.3","8.2","0.1%"
"37","Adrian Peterson (FA)","156","604","3.9","38","5","7","12","18","101","8.4","0","0","16","118.5","7.4","2.1%"
"38","Leonard Fournette (FA)","97","367","3.8","46","5","6","36","47","233","6.5","0","0","13","114.0","8.8","7.0%"
"39","Jamaal Williams (NO)","119","505","4.2","25","1","2","31","35","236","7.6","1","0","14","111.6","8.0","85.4%"
"40","Jerick McKinnon (KC)","81","319","3.9","55","4","5","33","46","253","7.7","1","0","16","109.7","6.9","65.1%"
"41","Tony Pollard (DAL)","101","435","4.3","42","8","4","28","40","193","6.9","1","0","16","106.8","6.7","99.9%"
"42","Malcolm Brown (FA)","101","419","4.1","19","0","5","23","33","162","7.0","0","1","16","97.6","6.1","0.0%"
"43","Cam Akers (LAR)","145","625","4.3","61","10","2","11","14","123","11.2","1","1","12","96.3","8.0","93.2%"
"44","Rex Burkhead (FA)","67","274","4.1","18","0","3","25","33","192","7.7","3","0","10","95.1","9.5","10.0%"
"45","Zack Moss (IND)","112","481","4.3","31","5","4","14","18","95","6.8","1","0","13","94.6","7.3","2.7%"
"46","Frank Gore (FA)","187","653","3.5","17","0","2","16","19","89","5.6","0","1","15","92.2","6.1","12.1%"
"47","James White (FA)","35","121","3.5","10","0","2","49","62","375","7.7","1","0","14","92.1","6.6","0.1%"
"48","Raheem Mostert (MIA)","104","521","5.0","80","6","2","16","19","156","9.8","1","1","8","91.7","11.5","54.0%"
"49","Joe Mixon (CIN)","119","428","3.6","34","4","3","21","26","138","6.6","1","1","6","89.1","14.9","99.3%"
"50","Damien Harris (BUF)","137","691","5.0","41","6","2","5","7","52","10.4","0","0","10","88.8","8.9","43.5%"
