"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Christian McCaffrey (SF)","287","1,387","4.8","84","18","15","116","142","1,005","8.7","4","0","16","413.2","25.8","100.0%"
"2","Aaron Jones (GB)","236","1,084","4.6","56","10","16","49","68","474","9.7","3","2","16","290.3","18.1","99.1%"
"3","Derrick Henry (TEN)","303","1,540","5.1","74","20","16","18","24","206","11.4","2","3","15","285.6","19.0","100.0%"
"4","Ezekiel Elliott (NE)","301","1,357","4.5","33","7","12","54","71","420","7.8","2","2","16","284.7","17.8","61.1%"
"5","Dalvin Cook (NYJ)","250","1,135","4.5","75","12","13","53","63","519","9.8","0","2","14","265.9","19.0","91.7%"
"6","Austin Ekeler (LAC)","132","557","4.2","35","5","3","92","108","993","10.8","8","2","16","263.0","16.4","100.0%"
"7","Nick Chubb (CLE)","298","1,494","5.0","88","24","8","36","49","278","7.7","0","3","16","237.2","14.8","99.9%"
"8","Mark Ingram II (FA)","202","1,018","5.0","53","11","10","26","29","247","9.5","5","2","15","229.5","15.3","0.1%"
"9","Leonard Fournette (FA)","265","1,152","4.3","81","18","3","76","100","522","6.9","0","1","15","221.4","14.8","7.0%"
"10","Saquon Barkley (NYG)","217","1,003","4.6","68","18","6","52","73","438","8.4","2","0","13","218.1","16.8","100.0%"
"11","Chris Carson (FA)","278","1,230","4.4","59","11","7","37","47","266","7.2","2","4","15","214.1","14.3","0.3%"
"12","Alvin Kamara (NO)","171","797","4.7","40","8","5","81","97","533","6.6","1","1","14","208.0","14.9","92.6%"
"13","Joe Mixon (CIN)","278","1,137","4.1","41","9","5","35","45","287","8.2","3","0","16","207.9","13.0","99.3%"
"14","Todd Gurley II (FA)","223","857","3.8","25","5","12","31","49","207","6.7","2","2","15","203.9","13.6","0.1%"
"15","Miles Sanders (CAR)","179","818","4.6","65","13","3","50","63","509","10.2","3","1","16","193.7","12.1","95.0%"
"16","Kenyan Drake (IND)","170","817","4.8","80","8","8","50","68","345","6.9","0","1","14","189.2","13.5","1.6%"
"17","Le'Veon Bell (FA)","245","789","3.2","19","0","3","66","78","461","7.0","1","1","15","182.0","12.1","0.1%"
"18","Josh Jacobs (LV)","242","1,150","4.8","51","14","7","20","27","166","8.3","0","1","13","181.6","14.0","99.9%"
"19","Phillip Lindsay (FA)","224","1,011","4.5","40","12","7","35","48","196","5.6","0","0","16","180.2","11.3","0.0%"
"20","Marlon Mack (ARI)","247","1,091","4.4","63","14","8","14","17","82","5.9","0","0","14","174.3","12.5","6.0%"
"21","Devonta Freeman (FA)","184","656","3.6","28","3","2","59","70","410","6.9","4","2","14","168.1","12.0","0.0%"
"22","James White (FA)","67","263","3.9","32","2","1","72","95","645","9.0","5","1","15","164.2","10.9","0.1%"
"23","Melvin Gordon III (BAL)","162","612","3.8","24","2","8","42","55","296","7.0","1","3","12","159.8","13.3","0.7%"
