"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","103","150","1,336","13.0","43","26","10","0","0","0","1","16","243.1","15.2","100.0%"
"2","Zach Ertz (ARI)","116","156","1,163","10.0","34","14","8","0","0","0","0","16","222.3","13.9","25.4%"
"3","George Kittle (SF)","88","136","1,377","15.6","85","40","5","1","10","0","0","16","214.7","13.4","99.2%"
"4","Eric Ebron (FA)","66","110","750","11.4","53","10","13","3","-8","1","1","16","189.2","11.8","0.0%"
"5","Jared Cook (FA)","68","101","896","13.2","45","21","6","0","0","0","0","16","159.6","10.0","0.0%"
"6","Austin Hooper (LV)","71","88","660","9.3","36","10","4","0","0","0","0","16","127.5","8.0","1.0%"
"7","Trey Burton (FA)","54","76","569","10.5","47","10","6","1","2","0","1","16","120.1","7.5","0.0%"
"8","Kyle Rudolph (FA)","64","82","634","9.9","44","8","4","0","0","0","0","16","119.4","7.5","0.0%"
"9","David Njoku (CLE)","56","88","639","11.4","66","14","4","0","0","0","0","16","115.9","7.2","90.6%"
"10","Vance McDonald (FA)","50","72","610","12.2","75","12","4","0","0","0","1","15","108.0","7.2","0.0%"
"11","Rob Gronkowski (FA)","47","72","682","14.5","42","13","3","0","0","0","1","13","107.7","8.3","1.1%"
"12","Evan Engram (JAC)","45","64","577","12.8","54","18","3","3","36","0","0","11","103.8","9.4","93.7%"
"13","O.J. Howard (FA)","34","48","565","16.6","75","16","5","0","0","0","0","10","103.5","10.4","0.0%"
"14","Jimmy Graham (NO)","55","89","636","11.6","54","11","2","0","0","0","0","16","103.1","6.4","0.3%"
"15","Chris Herndon IV (FA)","39","56","502","12.9","32","10","4","0","0","0","0","16","93.7","5.9","0.0%"
"16","Jordan Reed (FA)","54","84","558","10.3","34","8","2","0","0","0","1","13","92.8","7.1","19.0%"
"17","Mark Andrews (BAL)","34","50","552","16.2","74","15","3","0","0","0","0","16","90.2","5.6","99.9%"
"18","C.J. Uzomah (NYJ)","43","64","439","10.2","29","6","3","0","0","0","0","16","83.4","5.2","0.2%"
"19","Cameron Brate (FA)","30","49","289","9.6","21","2","6","0","0","0","1","16","77.9","4.9","2.0%"
"20","Dallas Goedert (PHI)","33","44","334","10.1","32","6","4","0","0","0","0","16","73.9","4.6","96.8%"
"21","Gerald Everett (LAC)","33","50","320","9.7","40","6","3","2","16","0","0","16","70.1","4.4","46.5%"
"22","Benjamin Watson (FA)","35","46","400","11.4","32","7","2","0","0","0","0","16","69.5","4.3","2.8%"
"23","Jesse James (NO)","30","39","423","14.1","51","15","2","0","0","0","0","16","69.3","4.3","0.0%"
"24","Greg Olsen (FA)","27","38","291","10.8","23","2","4","0","0","0","0","9","66.6","7.4","7.0%"
"25","Ian Thomas (CAR)","36","49","333","9.3","31","5","2","0","0","0","0","16","63.3","4.0","0.1%"
"26","Vernon Davis (FA)","25","36","367","14.7","53","14","2","0","0","0","0","14","63.2","4.5","1.6%"
"27","Blake Jarwin (FA)","27","36","307","11.4","39","5","3","0","0","0","0","16","62.2","3.9","4.0%"
"28","Antonio Gates (FA)","28","45","333","11.9","27","5","2","0","0","0","1","16","61.3","3.8","0.2%"
"29","Nick Vannett (HOU)","29","43","269","9.3","32","2","3","0","0","0","0","15","59.4","4.0","0.0%"
"30","Ricky Seals-Jones (IND)","34","69","343","10.1","40","9","1","0","0","0","0","15","57.3","3.8","0.0%"
"31","Jeff Heuerman (FA)","31","48","281","9.1","36","3","2","0","0","0","0","11","55.6","5.1","0.0%"
"32","Jordan Thomas (CAR)","20","27","215","10.8","39","3","4","0","0","0","0","16","55.5","3.5","0.0%"
"33","Jonnu Smith (ATL)","20","30","258","12.9","61","6","3","0","0","0","0","13","53.8","4.1","0.3%"
"34","Tyler Higbee (LAR)","24","34","292","12.2","36","5","2","0","0","0","0","16","53.2","3.3","73.1%"
"35","Rhett Ellison (FA)","25","34","272","10.9","29","2","1","0","0","0","0","14","47.7","3.4","0.0%"
"36","Jack Doyle (FA)","26","33","245","9.4","20","1","2","0","0","0","1","6","47.5","7.9","2.0%"
"37","Geoff Swaim (ARI)","26","32","242","9.3","43","6","1","0","0","0","0","9","43.2","4.8","0.0%"
"38","Matt LaCosse (FA)","24","37","250","10.4","44","3","1","0","0","0","0","15","43.0","2.9","0.0%"
"39","Levine Toilolo (FA)","21","24","263","12.5","39","3","1","0","0","0","0","16","42.8","2.7","0.0%"
"40","Ryan Griffin (FA)","24","43","305","12.7","47","6","0","0","0","0","0","14","42.5","3.0","0.0%"
"41","Demetrius Harris (FA)","12","25","164","13.7","35","3","3","0","0","0","0","15","40.4","2.7","0.0%"
"42","Ed Dickson (FA)","12","13","143","11.9","42","4","3","1","9","0","0","10","39.2","3.9","0.0%"
"43","Jason Croom (FA)","22","35","259","11.8","26","5","1","0","0","0","2","15","38.9","2.6","0.0%"
"44","Anthony Firkser (NE)","19","20","225","11.8","28","3","1","0","0","0","0","12","38.0","3.2","0.0%"
"45","Virgil Green (FA)","19","27","210","11.1","26","5","1","0","0","0","0","16","36.5","2.3","0.0%"
"46","Luke Stocker (FA)","15","21","165","11.0","31","3","2","1","0","0","0","16","36.0","2.3","0.0%"
"47","Darren Fells (FA)","11","12","117","10.6","49","3","3","0","0","0","0","16","35.2","2.2","0.0%"
"48","James O'Shaughnessy (FA)","24","38","214","8.9","17","0","0","0","0","0","0","14","33.4","2.4","0.0%"
"49","Nick Boyle (FA)","23","37","213","9.3","25","1","0","0","0","0","0","16","32.8","2.1","0.0%"
"50","Michael Roberts (FA)","9","20","100","11.1","29","1","3","0","0","0","0","8","32.5","4.1","0.0%"
"51","Josh Hill (FA)","16","24","185","11.6","23","4","1","0","0","0","0","16","32.5","2.0","0.0%"
"52","Lance Kendricks (FA)","19","25","170","8.9","22","2","1","0","0","0","0","16","32.5","2.0","0.0%"
"53","Will Dissly (SEA)","8","14","156","19.5","66","7","2","0","0","0","0","4","31.6","7.9","0.3%"
"54","Tyler Eifert (FA)","15","19","179","11.9","29","2","1","0","0","0","0","4","31.4","7.9","0.0%"
"55","Jordan Akins (CLE)","17","25","225","13.2","28","3","0","0","0","0","0","16","31.0","1.9","0.1%"
"56","Erik Swoope (FA)","8","10","87","10.9","26","1","3","0","0","0","0","7","30.7","4.4","0.0%"
"57","Lee Smith (FA)","10","11","73","7.3","30","2","3","0","0","0","0","16","30.3","1.9","0.0%"
"58","Mike Gesicki (NE)","22","32","202","9.2","27","1","0","0","0","0","1","16","29.2","1.8","15.3%"
"59","Maxx Williams (FA)","16","17","143","8.9","25","3","1","3","8","0","0","13","29.1","2.2","0.0%"
"60","Mo Alie-Cox (IND)","7","14","133","19.0","34","5","2","0","0","0","0","9","28.8","3.2","0.1%"
"61","Hayden Hurst (CAR)","13","23","163","12.5","32","4","1","1","0","0","0","12","28.8","2.4","7.7%"
"62","Dan Arnold (PHI)","12","19","150","12.5","25","4","1","0","0","0","0","10","27.0","2.7","0.1%"
"63","Charles Clay (FA)","21","36","184","8.8","21","2","0","0","0","0","1","13","26.9","2.1","0.0%"
