"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"64","Jordan Leggett (FA)","14","25","114","8.1","16","0","1","0","0","0","0","15","24.4","1.6","0.0%"
"65","Garrett Celek (FA)","5","8","90","18.0","41","4","2","0","0","0","0","15","23.5","1.6","0.0%"
"66","MyCole Pruitt (ATL)","9","11","102","11.3","27","1","1","0","0","0","0","15","20.7","1.4","0.0%"
"67","Austin Seferian-Jenkins (FA)","11","19","90","8.2","21","1","1","0","0","0","0","5","20.5","4.1","0.0%"
"68","Logan Paulsen (FA)","9","9","91","10.1","19","0","1","0","0","0","0","15","19.6","1.3","0.0%"
"69","Scott Simonson (FA)","9","14","86","9.6","24","1","1","0","0","0","0","16","19.1","1.2","0.0%"
"70","Nick O'Leary (FA)","8","10","86","10.8","19","0","1","0","0","0","0","12","18.6","1.6","0.0%"
"71","Dalton Schultz (HOU)","12","17","116","9.7","17","0","0","0","0","0","0","11","17.6","1.6","76.7%"
"72","Derek Carrier (FA)","7","12","67","9.6","23","1","1","0","0","0","0","16","16.2","1.0","0.0%"
"73","Seth DeValve (FA)","5","7","74","14.8","26","2","1","0","0","0","0","13","15.9","1.2","0.0%"
"74","Robert Tonyan (CHI)","4","6","77","19.3","54","4","1","0","0","0","0","16","15.7","1.0","0.7%"
"75","Adam Shaheen (FA)","5","6","48","9.6","23","1","1","0","0","0","0","6","15.3","2.6","0.0%"
"76","Luke Willson (FA)","13","19","87","6.7","13","0","0","0","0","0","0","14","15.2","1.1","0.0%"
"77","Niles Paul (FA)","10","13","98","9.8","22","1","0","1","-3","0","0","6","14.5","2.4","0.0%"
"78","Logan Thomas (WAS)","12","17","77","6.4","24","1","0","0","0","0","0","12","14.3","1.2","1.7%"
"79","Jeremy Sprinkle (FA)","5","9","41","8.2","15","0","1","0","0","0","0","16","12.6","0.8","0.0%"
"80","Darren Waller (NYG)","6","6","75","12.5","44","3","0","1","21","0","0","4","12.6","3.2","98.6%"
"81","Jake Butt (FA)","8","13","85","10.6","22","2","0","0","0","0","0","3","12.5","4.2","0.1%"
"82","A.J. Derby (FA)","3","5","48","16.0","19","0","1","0","0","0","0","4","12.3","3.1","0.0%"
"83","Chris Manhertz (DEN)","2","5","52","26.0","50","4","1","0","0","0","0","16","12.2","0.8","0.0%"
"84","Jermaine Gresham (FA)","9","12","94","10.4","26","1","0","0","0","0","1","13","11.9","0.9","0.0%"
"85","Eric Tomlinson (HOU)","8","14","72","9.0","24","1","0","0","0","0","0","15","11.2","0.7","0.0%"
"86","Blake Bell (KC)","8","11","67","8.4","16","0","0","0","0","0","0","10","10.7","1.1","0.1%"
"87","Tyler Conklin (NYJ)","5","7","77","15.4","33","3","0","0","0","0","0","16","10.2","0.6","9.8%"
"88","Xavier Grimble (FA)","6","8","86","14.3","23","2","0","0","0","0","1","16","9.6","0.6","0.0%"
"89","Matt Lengel (FA)","3","8","17","5.7","9","0","1","0","0","0","0","11","9.2","0.8","0.0%"
"90","Joshua Perkins (FA)","5","11","67","13.4","30","2","0","0","0","0","0","9","9.2","1.0","0.0%"
"91","David Grinnage (FA)","6","8","61","10.2","24","1","0","0","0","0","0","4","9.1","2.3","0.0%"
"92","Antony Auclair (FA)","7","8","48","6.9","12","0","0","0","0","0","0","16","8.3","0.5","0.0%"
"93","Durham Smythe (MIA)","6","11","50","8.3","21","1","0","0","0","0","0","15","8.0","0.5","0.2%"
"94","Neal Sterling (FA)","6","8","47","7.8","12","0","0","0","0","0","0","5","7.7","1.5","0.0%"
"95","Eric Saubert (MIA)","5","9","48","9.6","17","0","0","0","0","0","0","16","7.3","0.5","0.1%"
"96","Jacob Hollister (LV)","4","5","52","13.0","23","1","0","0","0","0","0","8","7.2","0.9","0.0%"
"97","Delanie Walker (FA)","4","7","52","13.0","16","0","0","0","0","0","0","1","7.2","7.2","0.1%"
"98","David Morgan II (FA)","5","6","36","7.2","13","0","0","0","0","0","0","11","6.1","0.6","0.0%"
"99","Rico Gathers (FA)","3","7","45","15.0","32","2","0","0","0","0","0","15","6.0","0.4","0.0%"
"100","Brian Parker (FA)","5","10","33","6.6","11","0","0","0","0","0","0","13","5.8","0.4","0.0%"
"101","Ben Braunecker (FA)","3","5","42","14.0","20","1","0","0","0","0","0","15","5.7","0.4","0.0%"
"102","Tyler Kroft (MIA)","4","6","36","9.0","16","0","0","0","0","0","0","5","5.6","1.1","0.1%"
"103","Marcedes Lewis (CHI)","3","4","39","13.0","30","2","0","0","0","0","0","16","5.4","0.3","0.0%"
"104","John Phillips (FA)","3","3","38","12.7","24","1","0","0","0","0","0","8","5.3","0.7","0.0%"
"105","Jordan Franks (FA)","2","3","37","18.5","32","2","0","0","0","0","0","6","4.7","0.8","0.0%"
"106","Dwayne Allen (FA)","3","4","27","9.0","21","1","0","0","0","0","0","13","4.2","0.3","0.0%"
"107","Orson Charles (FA)","3","5","23","7.7","9","0","0","0","0","0","0","13","3.8","0.3","0.0%"
"108","Sean Culkin (FA)","1","1","24","24.0","24","1","0","0","0","0","0","13","2.9","0.2","0.0%"
"109","Tyrone Swoopes (FA)","1","1","23","23.0","23","1","0","0","0","0","0","1","2.8","2.8","0.0%"
"110","Ross Dwelley (SF)","2","2","14","7.0","8","0","0","0","0","0","0","11","2.4","0.2","0.0%"
"111","Hakeem Valles (FA)","2","3","11","5.5","6","0","0","0","0","0","0","3","2.1","0.7","0.0%"
"112","Dion Sims (FA)","2","4","9","4.5","9","0","0","0","0","0","0","8","1.9","0.2","0.0%"
"113","Alan Cross (FA)","2","5","9","4.5","6","0","0","0","0","0","0","14","1.9","0.1","0.0%"
"114","Matt Flanagan (FA)","1","2","14","14.0","14","0","0","0","0","0","0","3","1.9","0.6","0.0%"
"115","Richard Rodgers (FA)","1","1","7","7.0","7","0","0","0","0","0","0","7","1.2","0.2","0.0%"
"116","Johnny Mundt (MIN)","1","1","5","5.0","5","0","0","0","0","0","0","10","1.0","0.1","0.0%"
"117","Khari Lee (FA)","1","1","5","5.0","5","0","0","0","0","0","0","2","1.0","0.5","0.0%"
"118","Jordan Matthews (FA)","20","28","300","15.0","56","8","2","0","0","0","0","14","0.0","0.0","0.0%"
"119","Kelvin Benjamin (FA)","25","67","380","15.2","40","11","1","0","0","0","0","15","0.0","0.0","0.1%"
"120","Clark Harris (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"121","Taysom Hill (NO)","3","7","4","1.3","5","0","0","37","196","2","1","16","0.0","0.0","12.8%"
"122","Shane Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.1%"
"123","Cole Wick (FA)","0","1","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"124","Mitchell Loewen (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"125","Mason Schreck (HOU)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"126","Darrell Daniels (DET)","0","2","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"127","Garrett Dickerson (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"128","James Looney (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"129","Deon Yelder (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"130","Donnie Ernsberger (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"131","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"132","Clive Walford (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"133","Jerome Cunningham (FA)","0","1","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"134","Kyle Nelson (FA)","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.0%"
"135","Devin Funchess (FA)","44","79","549","12.5","27","8","4","0","0","0","0","14","0.0","0.0","0.0%"
"136","Ben Koyack (FA)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"137","Jake Fisher (FA)","0","0","0","0","0","0","0","0","0","0","0","11","0.0","0.0","0.0%"
"138","Ryan Hewitt (FA)","1","2","1","1.0","1","0","1","0","0","0","0","12","0.0","0.0","0.0%"
"139","Alex Ellis (FA)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"140","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"141","Bronson Kaufusi (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"142","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"143","Temarrick Hemingway (FA)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"144","Kevin McDermott (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"145","Tyler Ott (BAL)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"146","Gabe Holmes (FA)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"147","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.0%"
"148","Daniel Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","14","0.0","0.0","0.0%"
"149","Beau Brinkley (FA)","0","0","0","0","0","0","0","0","0","0","0","16","0.0","0.0","0.2%"
""
""
