"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Austin Ekeler (LAC)","204","915","4.5","72","10","13","107","127","722","6.7","5","3","17","319.2","18.8","100.0%"
"2","Christian McCaffrey (SF)","244","1,139","4.7","49","14","8","85","108","741","8.7","5","0","17","313.9","18.5","100.0%"
"3","Josh Jacobs (LV)","340","1,653","4.9","86","14","12","53","64","400","7.5","0","1","17","301.8","17.8","99.9%"
"4","Derrick Henry (TEN)","349","1,538","4.4","56","20","13","33","41","398","12.1","0","3","16","286.3","17.9","100.0%"
"5","Nick Chubb (CLE)","302","1,525","5.0","41","18","12","27","37","239","8.9","1","1","17","267.9","15.8","99.9%"
"6","Saquon Barkley (NYG)","295","1,312","4.4","68","16","10","57","76","338","5.9","0","0","16","255.5","16.0","100.0%"
"7","Tony Pollard (DAL)","193","1,007","5.2","57","18","9","39","55","371","9.5","3","0","16","229.3","14.3","99.9%"
"8","Jamaal Williams (NO)","262","1,066","4.1","58","10","17","12","16","73","6.1","0","2","17","219.9","12.9","85.4%"
"9","Aaron Jones (GB)","213","1,121","5.3","36","10","2","59","72","395","6.7","5","3","17","219.1","12.9","99.1%"
"10","Dalvin Cook (NYJ)","264","1,173","4.4","81","14","8","39","56","295","7.6","2","4","17","218.3","12.8","91.7%"
"11","Rhamondre Stevenson (NE)","210","1,040","5.0","49","12","5","69","88","421","6.1","1","1","17","214.6","12.6","98.6%"
"12","Joe Mixon (CIN)","212","826","3.9","40","7","7","60","75","441","7.4","2","0","15","210.7","14.0","99.3%"
"13","Miles Sanders (CAR)","259","1,269","4.9","40","12","11","20","26","78","3.9","0","2","17","206.7","12.2","95.0%"
"14","Najee Harris (PIT)","272","1,034","3.8","36","2","7","41","53","229","5.6","3","2","17","203.0","11.9","99.5%"
"15","Leonard Fournette (FA)","189","668","3.5","23","1","3","73","83","523","7.2","3","0","16","190.6","11.9","7.0%"
"16","Kenneth Walker III (SEA)","228","1,050","4.6","74","21","9","27","35","165","6.1","0","0","15","189.0","12.6","95.8%"
"17","Travis Etienne Jr. (JAC)","220","1,125","5.1","62","18","5","35","45","316","9.0","0","3","17","187.6","11.0","99.6%"
"18","Alvin Kamara (NO)","223","897","4.0","27","3","2","57","77","490","8.6","2","4","15","183.2","12.2","92.6%"
"19","Ezekiel Elliott (NE)","231","876","3.8","27","5","12","17","23","92","5.4","0","0","15","177.3","11.8","61.1%"
"20","James Conner (ARI)","183","782","4.3","23","3","7","46","58","300","6.5","1","1","13","177.2","13.6","95.0%"
"21","Jerick McKinnon (KC)","72","291","4.0","30","3","1","56","71","512","9.1","9","1","17","168.3","9.9","65.1%"
"22","D'Andre Swift (PHI)","99","542","5.5","50","10","5","48","70","389","8.1","3","0","14","167.1","11.9","90.0%"
"23","David Montgomery (DET)","201","801","4.0","28","2","5","34","40","316","9.3","1","2","16","160.7","10.0","91.3%"
"24","Devin Singletary (HOU)","178","822","4.6","33","7","5","38","52","280","7.4","1","3","17","159.2","9.4","39.4%"
"25","AJ Dillon (GB)","186","770","4.1","27","3","7","28","43","206","7.4","0","0","17","153.6","9.0","86.1%"
"26","Raheem Mostert (MIA)","181","891","4.9","67","9","3","31","42","202","6.5","2","1","16","152.8","9.6","54.0%"
"27","Dameon Pierce (HOU)","220","939","4.3","75","13","4","30","39","165","5.5","1","2","13","151.4","11.6","96.0%"
"28","Tyler Allgeier (ATL)","210","1,035","4.9","44","12","3","16","17","139","8.7","1","0","16","151.4","9.5","40.9%"
"29","Jeff Wilson Jr. (MIA)","176","860","4.9","41","11","5","22","37","185","8.4","1","2","16","147.5","9.2","51.6%"
"30","Cordarrelle Patterson (ATL)","144","695","4.8","40","6","8","21","31","122","5.8","0","1","13","144.2","11.1","12.0%"
"31","Antonio Gibson (WAS)","149","546","3.7","20","1","3","46","58","353","7.7","2","0","15","142.9","9.5","81.1%"
"32","Latavius Murray (BUF)","171","760","4.4","52","9","6","27","35","132","4.9","0","0","14","140.7","10.1","1.4%"
"33","Cam Akers (LAR)","188","786","4.2","42","6","7","13","18","117","9.0","0","2","15","134.8","9.0","93.2%"
"34","Jonathan Taylor (IND)","192","861","4.5","66","8","4","28","40","143","5.1","0","3","12","132.4","11.0","99.7%"
"35","D'Onta Foreman (CHI)","203","914","4.5","60","12","5","5","9","26","5.2","0","0","16","128.5","8.0","26.1%"
"36","Isiah Pacheco (KC)","170","830","4.9","31","4","5","13","14","130","10.0","0","2","17","128.5","7.6","92.4%"
"37","Samaje Perine (DEN)","95","394","4.1","29","1","2","38","51","287","7.6","4","0","16","123.1","7.7","74.1%"
"38","Rachaad White (TB)","129","481","3.7","35","3","1","50","58","290","5.8","2","3","17","114.1","6.7","93.0%"
"39","Khalil Herbert (CHI)","129","731","5.7","63","11","4","9","12","57","6.3","1","0","13","113.3","8.7","84.7%"
"40","Kareem Hunt (FA)","123","468","3.8","24","2","3","35","44","210","6.0","1","0","17","109.3","6.4","12.0%"
"41","Brian Robinson Jr. (WAS)","205","797","3.9","24","2","2","9","12","60","6.7","1","0","12","108.2","9.0","84.4%"
"42","Breece Hall (NYJ)","80","463","5.8","62","7","4","19","31","218","11.5","1","1","7","105.6","15.1","96.5%"
"43","Michael Carter (NYJ)","114","402","3.5","25","3","3","41","54","288","7.0","0","1","16","105.5","6.6","5.9%"
"44","James Cook (BUF)","91","525","5.8","33","7","2","21","32","180","8.6","1","1","17","97.0","5.7","90.8%"
"45","Kenyan Drake (IND)","109","482","4.4","40","9","4","17","26","89","5.2","1","0","12","95.6","8.0","1.6%"
"46","Clyde Edwards-Helaire (KC)","71","302","4.3","52","5","3","17","23","151","8.9","3","0","10","89.8","9.0","13.2%"
"47","James Robinson (NYG)","110","425","3.9","50","8","3","11","14","51","4.6","2","0","11","83.1","7.6","0.8%"
"48","Damien Harris (BUF)","106","462","4.4","30","3","3","17","23","97","5.7","0","0","11","82.4","7.5","43.5%"
"49","Alexander Mattison (MIN)","74","283","3.8","15","0","5","15","18","91","6.1","1","0","17","80.9","4.8","92.2%"
"50","Chuba Hubbard (CAR)","95","466","4.9","35","6","2","14","17","171","12.2","0","1","14","80.7","5.8","14.4%"
"51","Jaylen Warren (PIT)","77","379","4.9","31","4","1","28","33","214","7.6","0","0","16","79.3","5.0","29.9%"
"52","J.K. Dobbins (BAL)","92","520","5.7","44","7","2","7","8","42","6.0","1","0","8","77.7","9.7","92.1%"
"53","Eno Benjamin (NO)","77","313","4.1","45","3","2","25","34","193","7.7","0","0","13","77.1","5.9","0.1%"
"54","Kenneth Gainwell (PHI)","53","240","4.5","13","0","4","23","29","169","7.3","0","0","17","76.4","4.5","33.4%"
"55","Melvin Gordon III (BAL)","90","318","3.5","17","0","2","25","32","223","8.9","0","2","10","74.6","7.5","0.7%"
"56","Deon Jackson (IND)","68","236","3.5","17","0","1","30","34","209","7.0","1","1","12","69.5","5.8","5.8%"
"57","Dontrell Hilliard (FA)","22","145","6.6","30","3","0","21","26","177","8.4","4","0","12","66.7","5.6","0.0%"
"58","Nyheim Hines (BUF)","24","33","1.4","9","0","1","30","37","241","8.0","1","0","16","66.4","4.2","0.5%"
"59","Chase Edmonds (TB)","68","245","3.6","28","3","2","16","24","157","9.8","1","0","13","66.2","5.1","3.4%"
"60","Darrell Henderson Jr. (FA)","70","283","4.0","23","1","3","17","22","102","6.0","0","0","10","65.0","6.5","0.1%"
"61","JaMycal Hasty (JAC)","46","194","4.2","61","4","2","21","27","121","5.8","1","0","14","60.0","4.3","0.3%"
"62","Gus Edwards (BAL)","87","433","5.0","37","4","3","0","2","0","0","0","1","9","59.3","6.6","14.6%"
"63","Zack Moss (IND)","93","456","4.9","43","5","1","11","13","39","3.5","0","1","13","59.0","4.5","2.7%"
"64","Joshua Kelley (LAC)","69","287","4.2","22","1","2","14","25","101","7.2","0","0","12","57.8","4.8","4.3%"
"65","Rex Burkhead (FA)","26","80","3.1","9","0","0","37","51","204","5.5","1","0","15","52.9","3.5","10.0%"
"66","Zonovan Knight (NYJ)","85","300","3.5","48","3","1","13","14","100","7.7","0","0","7","52.5","7.5","3.5%"
"67","Rashaad Penny (PHI)","57","346","6.1","41","9","2","4","5","16","4.0","0","0","5","50.2","10.0","77.0%"
"68","Matt Breida (NYG)","54","220","4.1","18","0","1","20","25","118","5.9","0","0","17","49.8","2.9","1.2%"
"69","Justin Jackson (FA)","42","170","4.0","27","1","1","12","19","101","8.4","1","0","15","45.1","3.0","0.1%"
"70","Kyle Juszczyk (SF)","7","26","3.7","9","0","1","19","23","200","10.5","1","0","13","44.1","3.4","0.3%"
"71","Caleb Huntley (FA)","76","366","4.8","30","3","1","2","2","3","1.5","0","0","12","43.9","3.7","0.0%"
"72","Boston Scott (PHI)","54","217","4.0","21","1","3","5","6","15","3.0","0","0","15","43.7","2.9","0.7%"
"73","J.D. McKissic (FA)","22","95","4.3","33","2","0","27","40","173","6.4","0","0","9","42.3","4.7","0.0%"
"74","Elijah Mitchell (SF)","45","279","6.2","37","2","2","3","4","7","2.3","0","0","5","42.1","8.4","48.3%"
"75","Mark Ingram II (FA)","62","233","3.8","14","0","1","16","18","68","4.3","0","2","10","42.1","4.2","0.1%"
"76","Ameer Abdullah (LV)","4","20","5.0","7","0","0","25","32","211","8.4","1","0","16","41.6","2.6","1.1%"
"77","Dare Ogunbowale (HOU)","42","123","2.9","11","0","1","20","26","104","5.2","0","0","15","38.7","2.6","0.2%"
"78","DeeJay Dallas (SEA)","35","186","5.3","27","1","0","17","19","126","7.4","0","0","15","38.7","2.6","0.3%"
"79","Raheem Blackshear (CAR)","23","77","3.3","16","0","3","10","12","93","9.3","0","1","13","38.0","2.9","0.6%"
"80","Ty Johnson (BUF)","30","160","5.3","32","3","1","12","24","88","7.3","0","0","12","36.8","3.1","0.0%"
